Ticker,Company,Industry
200011.SZ,PRD-B,K Real Estate
200012.SZ,CSG-B,C Manufacturing
200016.SZ,KONKA GROUP-B,C Manufacturing
200017.SZ,CBC-B,C Manufacturing
200019.SZ,SHENLIANG-B,F Wholesale & Retail
200020.SZ,HUAFA-B,C Manufacturing
200025.SZ,TELLUS-B,F Wholesale & Retail
200026.SZ,FIYTA-B,F Wholesale & Retail
200028.SZ,ACCORD-B,F Wholesale & Retail
200029.SZ,SPG-B,K Real Estate
200030.SZ,FAWER-B,C Manufacturing
200037.SZ,NSRD-B,D Utilities
200045.SZ,STHC-B,C Manufacturing
200054.SZ,JSVS-B,C Manufacturing
200055.SZ,FANGDA-B,C Manufacturing
200056.SZ,WT-B,L Business Support
200058.SZ,SEGCL-B,L Business Support
200152.SZ,SD AIRLINES-B,G Transportation
200413.SZ,DONGXUB,C Manufacturing
200429.SZ,GPED-B,G Transportation
200468.SZ,NJ TEL-B,C Manufacturing
200488.SZ,SCPH-B,C Manufacturing
200505.SZ,JL-B,C Manufacturing
200512.SZ,TKC-B,C Manufacturing
200521.SZ,CHML-B,C Manufacturing
200530.SZ,BINGSHAN B,C Manufacturing
200539.SZ,GED-B,D Utilities
200541.SZ,FSL-B,C Manufacturing
200550.SZ,JMC-B,C Manufacturing
200553.SZ,ADAMA B,C Manufacturing
200570.SZ,CHANGCHAI-B,C Manufacturing
200581.SZ,WEIFU HIGH-TECH-B,C Manufacturing
200596.SZ,GUJING DISTILLERY-B,C Manufacturing
200613.SZ,DADONGHAI-B,H Hotels & Catering
200625.SZ,CHANGAN AUTOMOBILE-B,C Manufacturing
200706.SZ,WAZHOU ZWZ-B,C Manufacturing
200725.SZ,BOE-B,C Manufacturing
200726.SZ,LTTC-B,C Manufacturing
200761.SZ,BSP-B,C Manufacturing
200771.SZ,HTC-B,C Manufacturing
200869.SZ,CHANGYU-B,C Manufacturing
200992.SZ,SZOCEANIC-B,A Agriculture
201872.SZ,CM PORT GROUP B,G Transportation
300001.SZ,TGOOD ELECTRIC,C Manufacturing
300002.SZ,ULTRAPOWER,I IT
300003.SZ,LEPU MEDICAL,C Manufacturing
300004.SZ,NANFENG CORPORATION,C Manufacturing
300005.SZ,TOREAD,C Manufacturing
300006.SZ,LUMMY,C Manufacturing
300007.SZ,HANWEI ELECTRONICS,C Manufacturing
300008.SZ,BESTWAY,E Construction
300009.SZ,ANKEBIO,C Manufacturing
300010.SZ,DOUSHEN,I IT
300011.SZ,DINGHAN TECH,C Manufacturing
300012.SZ,CTI,M Research & Development
300013.SZ,XNWL,G Transportation
300014.SZ,EVE,C Manufacturing
300015.SZ,AIER EYE HOSPITAL,Q Public Health
300016.SZ,BEILU PHARMA,C Manufacturing
300017.SZ,WANGSU,I IT
300018.SZ,ZYGF,C Manufacturing
300019.SZ,GUIBAO,C Manufacturing
300020.SZ,ENJOYOR,I IT
300021.SZ,DAYU WATER-SAVING,C Manufacturing
300022.SZ,GIFORE,F Wholesale & Retail
300023.SZ,BODE,C Manufacturing
300024.SZ,ROBOT,C Manufacturing
300025.SZ,HUAXING CHUANGYE,I IT
300026.SZ,CHASE SUN PHARM.,C Manufacturing
300027.SZ,HBMC,R Media
300029.SZ,TLPE,C Manufacturing
300030.SZ,IMPROVE MEDICAL,C Manufacturing
300031.SZ,BOTON TECHNOLOGY,I IT
300032.SZ,JINLONG INC,C Manufacturing
300033.SZ,FLUSH INFO,J Finance
300034.SZ,CISRI-GAONA,C Manufacturing
300035.SZ,HNZK ELECTRIC,C Manufacturing
300036.SZ,SUPERMAP,I IT
300037.SZ,CAPCHEM,C Manufacturing
300038.SZ,SHUZHI,I IT
300039.SZ,SHANGHAI KAIBAO,C Manufacturing
300040.SZ,JZ GROUP,C Manufacturing
300041.SZ,HUITIAN NEW MATERIAL,C Manufacturing
300042.SZ,NETAC,C Manufacturing
300043.SZ,RASTAR,I IT
300044.SZ,SUNWIN,I IT
300045.SZ,HWA CREATE,C Manufacturing
300046.SZ,TECHSEM,C Manufacturing
300047.SZ,TYDIC,I IT
300048.SZ,HICONICS,C Manufacturing
300049.SZ,"FREE CO., LTD",C Manufacturing
300050.SZ,DINGLI COMM,I IT
300051.SZ,35.COM,I IT
300052.SZ,ZQGAME,I IT
300053.SZ,OBT,C Manufacturing
300054.SZ,DING LONG,C Manufacturing
300055.SZ,WBD,E Construction
300056.SZ,ZHONGCHUANG,C Manufacturing
300057.SZ,WANSHUN NEW MATERIAL,C Manufacturing
300058.SZ,BLUEFOCUS,L Business Support
300059.SZ,EASTMONEY,J Finance
300061.SZ,QITIAN TECHNOLOGY,L Business Support
300062.SZ,CEE,C Manufacturing
300063.SZ,TLJT,L Business Support
300064.SZ,SC DIAMOND,C Manufacturing
300065.SZ,HLX,C Manufacturing
300066.SZ,SANCHUAN  WISDOM,C Manufacturing
300067.SZ,ANOKY,C Manufacturing
300068.SZ,NARADA POWER SOURCE,C Manufacturing
300069.SZ,JINLIHUA ELECTRIC,C Manufacturing
300070.SZ,BOW,N Environmental Protection
300071.SZ,SPEARHEAD,L Business Support
300072.SZ,SJEP,C Manufacturing
300073.SZ,EASPRING,C Manufacturing
300074.SZ,AVCON,I IT
300075.SZ,EGOVA,I IT
300076.SZ,GQY,C Manufacturing
300077.SZ,NATIONZ,C Manufacturing
300078.SZ,CENTURY,C Manufacturing
300079.SZ,SUMAVISION,C Manufacturing
300080.SZ,YCXN,C Manufacturing
300081.SZ,HXDF,M Research & Development
300082.SZ,OXIRANCHEM,C Manufacturing
300083.SZ,CREATE CENTURY,C Manufacturing
300084.SZ,HAIMO,B Mining
300085.SZ,INFOGEM,I IT
300086.SZ,HONZ,C Manufacturing
300087.SZ,WINALL HI-TECH,A Agriculture
300088.SZ,TOKEN SCI,C Manufacturing
300089.SZ,GREAT WALL CULTURE,C Manufacturing
300091.SZ,JTL,C Manufacturing
300092.SZ,COMELEC,C Manufacturing
300093.SZ,GOLDEN GLASS,C Manufacturing
300094.SZ,GUOLIAN AQUATIC,C Manufacturing
300095.SZ,"HUAWU CO., LTD.",C Manufacturing
300096.SZ,YLZINFO,I IT
300097.SZ,ZY AUTOMATION,C Manufacturing
300098.SZ,GOSUN,I IT
300099.SZ,UPIE,C Manufacturing
300100.SZ,SHUANGLIN AUTO PARTS,C Manufacturing
300101.SZ,ZXKJ,C Manufacturing
300102.SZ,CHANGELIGHT,C Manufacturing
300103.SZ,DAGANG HOLDING,N Environmental Protection
300105.SZ,LONGYUAN TECHNOLOGY,C Manufacturing
300106.SZ,WESTERN ANIMAL,A Agriculture
300107.SZ,JIANXIN CHEMICAL,C Manufacturing
300108.SZ,JI YAO HOLDING,C Manufacturing
300109.SZ,NKY,C Manufacturing
300110.SZ,HRYY,C Manufacturing
300111.SZ,SUNFLOWER,C Manufacturing
300112.SZ,MAXONIC,C Manufacturing
300113.SZ,SW-TECH,I IT
300114.SZ,ZEMIC,C Manufacturing
300115.SZ,EWPT,C Manufacturing
300116.SZ,BAOLI NEW,C Manufacturing
300117.SZ,JIAYU STOCK,E Construction
300118.SZ,RISEN ENERGY,C Manufacturing
300119.SZ,RPSW,C Manufacturing
300120.SZ,JWHK,C Manufacturing
300121.SZ,YANGGU HUATAI,C Manufacturing
300122.SZ,ZHIFEI-BIOL,C Manufacturing
300123.SZ,YAGUANG TECHNOLOGY,C Manufacturing
300124.SZ,INOVANCE,C Manufacturing
300125.SZ,LINGDA GROUP,C Manufacturing
300126.SZ,RQGF,C Manufacturing
300127.SZ,GALAXY MAGNETS,C Manufacturing
300128.SZ,JINFU TECHNOLOGY,C Manufacturing
300129.SZ,TSP,C Manufacturing
300130.SZ,NEXGO,C Manufacturing
300131.SZ,YITOA INTELLIGENT,F Wholesale & Retail
300132.SZ,GREEN PINE,C Manufacturing
300133.SZ,HUACE FILM & TV,R Media
300134.SZ,TAT FOOK TECHNOLOGY,C Manufacturing
300135.SZ,BLIIC,C Manufacturing
300136.SZ,SUNWAY COMM,C Manufacturing
300137.SZ,SAILHEROENVIROPROTEC,C Manufacturing
300138.SZ,CHENGUANG BIOTECH,C Manufacturing
300139.SZ,XC-TECH,C Manufacturing
300140.SZ,CECEP  EQUIPMENT,C Manufacturing
300141.SZ,HSDQ,C Manufacturing
300142.SZ,WALVAX,C Manufacturing
300143.SZ,INKON LIFE,Q Public Health
300144.SZ,SONGCHENG,R Media
300145.SZ,ZHONGJIN ENVIRONMENT,C Manufacturing
300146.SZ,BY-HEALTH,C Manufacturing
300147.SZ,XXZY,C Manufacturing
300148.SZ,TANGEL PUBLISHING,I IT
300149.SZ,CHEMPARTNER,M Research & Development
300150.SZ,IREAL,I IT
300151.SZ,CHANGHONG TECH,C Manufacturing
300152.SZ,KERONG ENVIRONMENTAL,N Environmental Protection
300153.SZ,COOLTECH,C Manufacturing
300154.SZ,RLGF,C Manufacturing
300155.SZ,ANJUBAO,C Manufacturing
300157.SZ,LANDOCEAN,B Mining
300158.SZ,ZHENDONG PHARMACY,C Manufacturing
300159.SZ,XYGF,C Manufacturing
300160.SZ,XIUQIANG GLASS,C Manufacturing
300161.SZ,HCNC,C Manufacturing
300162.SZ,LEDMAN,C Manufacturing
300163.SZ,APLUS,C Manufacturing
300164.SZ,TONG OIL TOOLS,B Mining
300165.SZ,SKYRAY INSTRUMENT,C Manufacturing
300166.SZ,BONC,I IT
300167.SZ,DVX,I IT
300168.SZ,WONDERS INFORMATION,I IT
300169.SZ,TIANSHENG,C Manufacturing
300170.SZ,HAND,I IT
300171.SZ,TOFFLON,C Manufacturing
300172.SZ,CEEP,N Environmental Protection
300173.SZ,FOET,C Manufacturing
300174.SZ,YUANLI ACTIVE CARBON,C Manufacturing
300175.SZ,LONTRUE,C Manufacturing
300176.SZ,PAISHENG TECHNOLOGY,C Manufacturing
300177.SZ,HI-TARGET,C Manufacturing
300178.SZ,TEMPUS GLOBAL,L Business Support
300179.SZ,SF DIAMOND,C Manufacturing
300180.SZ,HUAFON MICROFIBRE,C Manufacturing
300181.SZ,ZUO LI YAO YE,C Manufacturing
300182.SZ,JETSEN,R Media
300183.SZ,DRZB,I IT
300184.SZ,P&S,F Wholesale & Retail
300185.SZ,TONGYU HEAVY,C Manufacturing
300187.SZ,YONKER,N Environmental Protection
300188.SZ,MEIYAPICO INC.,I IT
300189.SZ,SHENNONG TECHNOLOGY,A Agriculture
300190.SZ,WELLE INC.,N Environmental Protection
300191.SZ,SINOGEO,B Mining
300192.SZ,KINGSWOOD EDUCATION,P Education
300193.SZ,JASIC,C Manufacturing
300194.SZ,FUAN PHARM,C Manufacturing
300195.SZ,MKM,C Manufacturing
300196.SZ,CHANGHAI COMPOSITES,C Manufacturing
300197.SZ,CECEP TECHANDECOLOGY,N Environmental Protection
300198.SZ,NCP,C Manufacturing
300199.SZ,HYBIO,C Manufacturing
300200.SZ,COMENS MATERIALS,C Manufacturing
300201.SZ,HLZ,C Manufacturing
300202.SZ,JLGF,C Manufacturing
300203.SZ,FPI,C Manufacturing
300204.SZ,STAIDSON BIO,C Manufacturing
300205.SZ,TIANYU INFO.,C Manufacturing
300206.SZ,EDAN,C Manufacturing
300207.SZ,SUNWODA,C Manufacturing
300208.SZ,QDZC,C Manufacturing
300209.SZ,TIANZE INFO,F Wholesale & Retail
300210.SZ,SENYUAN,C Manufacturing
300211.SZ,YITONG TECH,C Manufacturing
300212.SZ,E-HUALU,I IT
300213.SZ,JXFH,C Manufacturing
300214.SZ,RIKE CHEMICAL,C Manufacturing
300215.SZ,EASA,M Research & Development
300217.SZ,DFDR,C Manufacturing
300218.SZ,ANLI,C Manufacturing
300219.SZ,HONGLIZHIHUI,C Manufacturing
300220.SZ,GODEN,C Manufacturing
300221.SZ,SILVER AGE,C Manufacturing
300222.SZ,CSG SMART,C Manufacturing
300223.SZ,INGENIC,C Manufacturing
300224.SZ,ZHMAG,C Manufacturing
300225.SZ,KNT,C Manufacturing
300226.SZ,SHANGHAI GANGLIAN,I IT
300227.SZ,SUNSHINE,C Manufacturing
300228.SZ,FRTZ,C Manufacturing
300229.SZ,TRS,I IT
300230.SZ,YONGLI,C Manufacturing
300231.SZ,TRUST&FAR TECH.,I IT
300232.SZ,UNILUMIN,C Manufacturing
300233.SZ,JINCHENG PHARM,C Manufacturing
300234.SZ,KAIER MATERIALS,C Manufacturing
300235.SZ,KINGSUN,I IT
300236.SZ,SHANGHAI SINYANG,C Manufacturing
300237.SZ,MEICHEN ECOLOGY,E Construction
300238.SZ,GHSW,C Manufacturing
300239.SZ,DBBT,C Manufacturing
300240.SZ,FEILIKS,G Transportation
300241.SZ,REFOND,C Manufacturing
300242.SZ,JYKJ,I IT
300243.SZ,RUIFENG CHEM,C Manufacturing
300244.SZ,D.A. DIAGNOSTICS,Q Public Health
300245.SZ,TJT,I IT
300246.SZ,BLT,C Manufacturing
300247.SZ,YOUNGY  HEALTH,C Manufacturing
300248.SZ,NEWCAPEC,I IT
300249.SZ,YIMIKANG,I IT
300250.SZ,CNCR,I IT
300251.SZ,ENLIGHT MEDIA,R Media
300252.SZ,JXNH,C Manufacturing
300253.SZ,WINNING HEALTH,I IT
300254.SZ,C&Y PHARMACEUTICAL,C Manufacturing
300255.SZ,CHANGSHAN PHARMA,C Manufacturing
300256.SZ,FPT,C Manufacturing
300257.SZ,KAISHAN COMPRESSOR,C Manufacturing
300258.SZ,PPF,C Manufacturing
300259.SZ,XINTIAN TECHNOLOGY,C Manufacturing
300260.SZ,KINGLAI MATERIALS,C Manufacturing
300261.SZ,ABACHEM,C Manufacturing
300262.SZ,SAFBON WATER,N Environmental Protection
300263.SZ,LONGHUA TECHNOLOGY,C Manufacturing
300264.SZ,AVIT,I IT
300265.SZ,TGC,C Manufacturing
300266.SZ,XINGYUAN ENVIRONMENT,N Environmental Protection
300267.SZ,ER-KANG,C Manufacturing
300268.SZ,JOYVIO FOOD,C Manufacturing
300269.SZ,LIANTRONICS,L Business Support
300270.SZ,OB TELECOM,C Manufacturing
300271.SZ,THUNISOFT,I IT
300272.SZ,CANATURE,C Manufacturing
300273.SZ,HOKAI MEDICAL,C Manufacturing
300274.SZ,SUNGROW POWER SUPPLY,C Manufacturing
300275.SZ,MAS,I IT
300276.SZ,SANFENG INTELLIGENT,C Manufacturing
300277.SZ,HIRISUN,I IT
300278.SZ,HUACHANGDA,C Manufacturing
300279.SZ,HODGEN,C Manufacturing
300280.SZ,ZITIAN TECHNOLOGY,L Business Support
300281.SZ,JMJJ,C Manufacturing
300282.SZ,SANSHENG EDUCATION,C Manufacturing
300283.SZ,WENZHOU HONGFENG,C Manufacturing
300284.SZ,JSTI,M Research & Development
300285.SZ,SINOCERA MATERIAL,C Manufacturing
300286.SZ,ACREL,C Manufacturing
300287.SZ,PHLX,I IT
300288.SZ,LONGMASTER INFO-TECH,I IT
300289.SZ,LEADMAN,C Manufacturing
300290.SZ,BRINGSPRING TECH.,I IT
300291.SZ,HLBN,R Media
300292.SZ,WTKG,I IT
300293.SZ,SBS,C Manufacturing
300294.SZ,BOYA BIOLOGY,C Manufacturing
300295.SZ,EVERYDAY NETWORK,I IT
300296.SZ,LEYARD,C Manufacturing
300297.SZ,BLUEDON,I IT
300298.SZ,CHANGSHA SINOCARE,C Manufacturing
300299.SZ,FUCHUN TECHNOLOGY,I IT
300300.SZ,HXCX,I IT
300301.SZ,CHANGFANG GROUP,C Manufacturing
300302.SZ,TOYOU,I IT
300303.SZ,JFLED,C Manufacturing
300304.SZ,YYDQ,C Manufacturing
300305.SZ,YXGF,C Manufacturing
300306.SZ,EVERFINE,C Manufacturing
300307.SZ,CIXING,C Manufacturing
300308.SZ,ZHONGJI INNOLIGHT,C Manufacturing
300309.SZ,GI-TECH,J Finance
300310.SZ,EASTONE CENTURY,I IT
300311.SZ,SURFILTER,I IT
300312.SZ,BOOMSENSE,I IT
300313.SZ,TIANSHAN BIO,A Agriculture
300314.SZ,DAVID MEDICAL,C Manufacturing
300315.SZ,OURPALM,I IT
300316.SZ,JINGSHENG,C Manufacturing
300317.SZ,JIAWEI  ENERGY,C Manufacturing
300318.SZ,BOHUI INNOVATION,C Manufacturing
300319.SZ,MICROGATE TECH,C Manufacturing
300320.SZ,HAIDA,C Manufacturing
300321.SZ,TONGDA STOCK,C Manufacturing
300322.SZ,SPEED,C Manufacturing
300323.SZ,HC SEMITEK,C Manufacturing
300324.SZ,WATERTEK,I IT
300325.SZ,DEWEI MATERIALS,C Manufacturing
300326.SZ,KINETIC,C Manufacturing
300327.SZ,SINO WEALTH,C Manufacturing
300328.SZ,EONTEC,C Manufacturing
300329.SZ,HAILUN PIANO,C Manufacturing
300330.SZ,HHJT,I IT
300331.SZ,SVG,C Manufacturing
300332.SZ,TRCE,D Utilities
300333.SZ,SINOSUN,I IT
300334.SZ,TMMT,C Manufacturing
300335.SZ,DEVOTION,D Utilities
300336.SZ,NCG,L Business Support
300337.SZ,YINBANG CLAD,C Manufacturing
300338.SZ,KAIYUAN EDU,P Education
300339.SZ,HOPERUN SOFTWARE,I IT
300340.SZ,KANHOO,C Manufacturing
300341.SZ,MOTIC ELECTRIC,C Manufacturing
300342.SZ,TIANYIN,C Manufacturing
300343.SZ,LECRON,C Manufacturing
300344.SZ,CDT,I IT
300345.SZ,HUAMIN,C Manufacturing
300346.SZ,NATA OPTO-ELECT,C Manufacturing
300347.SZ,TIGERMED,M Research & Development
300348.SZ,SUNLINE,I IT
300349.SZ,GOLDCARD,I IT
300350.SZ,HUAPENGFEI,I IT
300351.SZ,YGDQ,C Manufacturing
300352.SZ,VRV,I IT
300353.SZ,KYLAND,C Manufacturing
300354.SZ,DONGHUA TESTING,C Manufacturing
300355.SZ,MCST,N Environmental Protection
300356.SZ,ELEFIRST,C Manufacturing
300357.SZ,WOLWO PHARMA,C Manufacturing
300358.SZ,TRUKING TECHNOLOGY,C Manufacturing
300359.SZ,QTEDU,I IT
300360.SZ,SUNRISE TECHNOLOGY,C Manufacturing
300363.SZ,PORTON,C Manufacturing
300364.SZ,COL,R Media
300365.SZ,FOREVER TECH.,I IT
300366.SZ,TROY INFORMATION,I IT
300367.SZ,NETPOSA,C Manufacturing
300368.SZ,HUIJIN ELECTRO.,C Manufacturing
300369.SZ,NSFOCUS,I IT
300370.SZ,ETROL,C Manufacturing
300371.SZ,HUIZHONG,C Manufacturing
300373.SZ,YANGJIE TECHNOLOGY,C Manufacturing
300374.SZ,CRPC,C Manufacturing
300375.SZ,PENGLING,C Manufacturing
300376.SZ,EAST,C Manufacturing
300377.SZ,YSSTECH,I IT
300378.SZ,DIGIWIN,I IT
300379.SZ,TONGTECH,I IT
300380.SZ,AMARSOFT,I IT
300381.SZ,YDL,C Manufacturing
300382.SZ,SLAC,C Manufacturing
300383.SZ,GHXW,I IT
300384.SZ,SANLIAN HOPE,M Research & Development
300385.SZ,CECM,C Manufacturing
300386.SZ,FEITIAN,I IT
300387.SZ,FORBON,C Manufacturing
300388.SZ,CECEPGZ,N Environmental Protection
300389.SZ,ABSEN,C Manufacturing
300390.SZ,THCJ,C Manufacturing
300391.SZ,KANGYUE TECHNOLOGY,C Manufacturing
300392.SZ,TENSYN CHINA,I IT
300393.SZ,JOLYWOOD,C Manufacturing
300394.SZ,TFC,C Manufacturing
300395.SZ,FEILIHUA,C Manufacturing
300396.SZ,DIRUI,C Manufacturing
300397.SZ,THD,C Manufacturing
300398.SZ,PHICHEM,C Manufacturing
300399.SZ,TLKJ,I IT
300400.SZ,JT,C Manufacturing
300401.SZ,GARDEN BIO-CHEM,C Manufacturing
300402.SZ,NANJING BAOSE,C Manufacturing
300403.SZ,HANYU GROUP,C Manufacturing
300404.SZ,BOJI CRO,M Research & Development
300405.SZ,KELONG FINE CHEMICAL,C Manufacturing
300406.SZ,BSBE,C Manufacturing
300407.SZ,KEYVIA ELECTRIC,C Manufacturing
300408.SZ,CCTC,C Manufacturing
300409.SZ,DOWSTONE,C Manufacturing
300410.SZ,ZHENGYE,C Manufacturing
300411.SZ,JDGF,C Manufacturing
300412.SZ,CANAAN TECH.,C Manufacturing
300413.SZ,MANGO,R Media
300414.SZ,ZG LIGHTNING PROTECT,C Manufacturing
300415.SZ,YIZUMI,C Manufacturing
300416.SZ,SUSHI TESTING,M Research & Development
300417.SZ,NHYQ,C Manufacturing
300418.SZ,KUNLUN,I IT
300419.SZ,INTERACT,I IT
300420.SZ,WYTC,C Manufacturing
300421.SZ,JGBR,C Manufacturing
300422.SZ,BSK,N Environmental Protection
300423.SZ,SUNFLY TECHNOLOGY,C Manufacturing
300424.SZ,HANGXIN TECH.,C Manufacturing
300425.SZ,SCIMEE,C Manufacturing
300426.SZ,TALENT MEDIA,R Media
300427.SZ,RED PHASE INC.,C Manufacturing
300428.SZ,LZJT,C Manufacturing
300429.SZ,TRONLY,C Manufacturing
300430.SZ,CTN,C Manufacturing
300432.SZ,FULIN PM,C Manufacturing
300433.SZ,LENS,C Manufacturing
300434.SZ,JSYY,C Manufacturing
300435.SZ,ZHONGTAI CRYOGENIC,D Utilities
300436.SZ,COSUNTER,C Manufacturing
300437.SZ,QSY TECH.,C Manufacturing
300438.SZ,GREAT POWER,C Manufacturing
300439.SZ,MEDICALSYSTEM,C Manufacturing
300440.SZ,YUNDA,I IT
300441.SZ,BSC,C Manufacturing
300442.SZ,PRECISE,C Manufacturing
300443.SZ,JIN LEI,C Manufacturing
300444.SZ,SOJO,C Manufacturing
300445.SZ,CONST,C Manufacturing
300446.SZ,LUCKY INNOVATIVE,C Manufacturing
300447.SZ,QXGF,C Manufacturing
300448.SZ,HAOYUN TECHNOLOGIES,I IT
300449.SZ,HBGK,C Manufacturing
300450.SZ,LEAD INTELLIGENT,C Manufacturing
300451.SZ,B-SOFT,I IT
300452.SZ,SUNHERE,C Manufacturing
300453.SZ,SXYL,C Manufacturing
300454.SZ,SANGFOR,I IT
300455.SZ,CTROWELL,C Manufacturing
300456.SZ,SMEI,C Manufacturing
300457.SZ,YINGHE TECHNOLOGY,C Manufacturing
300458.SZ,ALLWINNERTECH,C Manufacturing
300459.SZ,TOM,I IT
300460.SZ,FAILONG CRYSTAL,C Manufacturing
300461.SZ,TANAC AUTOMATION,C Manufacturing
300462.SZ,HMZN,C Manufacturing
300463.SZ,MAKER BIOTECHNOLOGY,C Manufacturing
300464.SZ,SACA,F Wholesale & Retail
300465.SZ,GIT,I IT
300466.SZ,SAIMO TECHNOLOGY,C Manufacturing
300467.SZ,XYKJ,I IT
300468.SZ,FORMS SYNTRON,I IT
300469.SZ,CES,I IT
300470.SZ,SNS,C Manufacturing
300471.SZ,HOUPU,C Manufacturing
300472.SZ,NEWU,C Manufacturing
300473.SZ,DARE AUTO,C Manufacturing
300474.SZ,JINGJIA MICRO,C Manufacturing
300475.SZ,JULONG TECH,C Manufacturing
300476.SZ,VGT,C Manufacturing
300477.SZ,HEZONG,C Manufacturing
300478.SZ,HZGX,C Manufacturing
300479.SZ,SYNTHESISELECTRONIC,C Manufacturing
300480.SZ,GL TECH,C Manufacturing
300481.SZ,HUICHENG,C Manufacturing
300482.SZ,WONDFO BIOTECH,C Manufacturing
300483.SZ,SINO PRIMA GAS,B Mining
300484.SZ,V&T,C Manufacturing
300485.SZ,SCIENCE SUN,C Manufacturing
300486.SZ,OMH,C Manufacturing
300487.SZ,SUNRESIN,C Manufacturing
300488.SZ,EST  TOOLS,C Manufacturing
300489.SZ,"ZHONGFEI CD.,LTD",C Manufacturing
300490.SZ,HNAC,C Manufacturing
300491.SZ,TONHE TECH.,C Manufacturing
300492.SZ,HUATU CENDES,M Research & Development
300493.SZ,FORTUNE TECH,I IT
300494.SZ,CENTURY,I IT
300495.SZ,MSECO,N Environmental Protection
300496.SZ,THUNDERSOFT,I IT
300497.SZ,FUSHINE,C Manufacturing
300498.SZ,WENS,A Agriculture
300499.SZ,GOALAND,C Manufacturing
300500.SZ,TUS-DESIGN,M Research & Development
300501.SZ,HAISHUN,C Manufacturing
300502.SZ,EOPTOLINK,C Manufacturing
300503.SZ,HAOZHI INDUSTRIAL,C Manufacturing
300504.SZ,TIANYI,C Manufacturing
300505.SZ,KMCJNC,C Manufacturing
300506.SZ,MINKAVE,E Construction
300507.SZ,OLIVE SENSORS,C Manufacturing
300508.SZ,WEIHONG,I IT
300509.SZ,NEWAMSTAR,C Manufacturing
300510.SZ,JGGF,C Manufacturing
300511.SZ,XUERONG,A Agriculture
300512.SZ,ZHONGYA CORPORATION,C Manufacturing
