Ticker,Company,Industry
300513.SZ,E-TECHSTAR,I IT
300514.SZ,FRIENDCOM,C Manufacturing
300515.SZ,SUNDY,C Manufacturing
300516.SZ,JIR,C Manufacturing
300517.SZ,HAIBO,E Construction
300518.SZ,SHENGXUNDA,I IT
300519.SZ,XINGUANG PHARMA,C Manufacturing
300520.SZ,GUOCHUANG,I IT
300521.SZ,AMSKY,C Manufacturing
300522.SZ,SUNMUN TECHNOLOGY,C Manufacturing
300523.SZ,GSAFETY,I IT
300525.SZ,BOSSSOFT,I IT
300526.SZ,CDWS,C Manufacturing
300527.SZ,CHINA HARZONE,C Manufacturing
300528.SZ,OMNIJOI,R Media
300529.SZ,JAFRON,C Manufacturing
300530.SZ,DAZHI,C Manufacturing
300531.SZ,UROVO,C Manufacturing
300532.SZ,NTI,I IT
300533.SZ,BINGCHUAN,I IT
300534.SZ,LSRF,C Manufacturing
300535.SZ,DOWELL INC.,C Manufacturing
300536.SZ,NUSUN LANDSCAPE,E Construction
300537.SZ,KUANGSHUN MATERIAL,C Manufacturing
300538.SZ,TYGF,F Wholesale & Retail
300539.SZ,HENGHE MOULD,C Manufacturing
300540.SZ,CSLP,C Manufacturing
300541.SZ,ADTEC,I IT
300542.SZ,BRILLIANCE TECH.,I IT
300543.SZ,SLIE,C Manufacturing
300545.SZ,LIANDE,C Manufacturing
300546.SZ,EMPTECH,C Manufacturing
300547.SZ,CHUANHUAN TECHNOLOGY,C Manufacturing
300548.SZ,BROADEX,C Manufacturing
300549.SZ,JOUDER PRECISION,C Manufacturing
300550.SZ,HEREN HEALTH,I IT
300551.SZ,GUAO TECHNOLOGY,C Manufacturing
300552.SZ,WANJI TECH,I IT
300553.SZ,JZABM,C Manufacturing
300554.SZ,SCAM,C Manufacturing
300555.SZ,LOOTOM,C Manufacturing
300556.SZ,SILKROAD VISION,I IT
300557.SZ,LGGK,C Manufacturing
300558.SZ,BETTA,C Manufacturing
300559.SZ,JIAFAET,I IT
300560.SZ,ZHONG FU TONG,I IT
300561.SZ,SGSG,I IT
300562.SZ,TRANSTEK,C Manufacturing
300563.SZ,SYGF,C Manufacturing
300564.SZ,ZHUBO,M Research & Development
300565.SZ,KEXIN TECH.,C Manufacturing
300566.SZ,EXCITON,C Manufacturing
300567.SZ,JCDZ,C Manufacturing
300568.SZ,SENIOR,C Manufacturing
300569.SZ,TIANNENG HEAVY INDUS,C Manufacturing
300570.SZ,T&S,C Manufacturing
300571.SZ,HAIT,I IT
300572.SZ,ANCHE,C Manufacturing
300573.SZ,XQYY,C Manufacturing
300575.SZ,FLAGCHEM,C Manufacturing
300576.SZ,RONGDA,C Manufacturing
300577.SZ,KORRUN,C Manufacturing
300578.SZ,BIZCONF,I IT
300579.SZ,BJCA,I IT
300580.SZ,BST,C Manufacturing
300581.SZ,CHENXI AVIATION,C Manufacturing
300582.SZ,INVENTRONICS,C Manufacturing
300583.SZ,STSW,C Manufacturing
300584.SZ,HICIN PHARMACEUTICAL,C Manufacturing
300585.SZ,ALDZ,C Manufacturing
300586.SZ,MALION,C Manufacturing
300587.SZ,TIANTIE INDUSTRY,C Manufacturing
300588.SZ,SAILING,I IT
300589.SZ,JIANGLONG,C Manufacturing
300590.SZ,QUECLINK,C Manufacturing
300591.SZ,WLM,C Manufacturing
300592.SZ,HUAKAI CREATIVE,R Media
300593.SZ,SUPLET,C Manufacturing
300594.SZ,LONGERTEK,C Manufacturing
300595.SZ,AUTEK,C Manufacturing
300596.SZ,LAL,C Manufacturing
300597.SZ,JDTX,I IT
300598.SZ,ARCHERMIND TECH.,I IT
300599.SZ,XSKJ,C Manufacturing
300600.SZ,GRKJ,C Manufacturing
300601.SZ,KANGTAI BIOLOGICAL,C Manufacturing
300602.SZ,FRD,C Manufacturing
300603.SZ,LAJS,I IT
300604.SZ,CCTECH,C Manufacturing
300605.SZ,HENGFENG INFO,I IT
300606.SZ,GOLDEN SUN,C Manufacturing
300607.SZ,TOPSTAR,C Manufacturing
300608.SZ,SI-TECH,I IT
300609.SZ,WINNERTECH,I IT
300610.SZ,YANGZHOU CHENHUA,C Manufacturing
300611.SZ,MEILI TECHNOLOGY,C Manufacturing
300612.SZ,SHUNYA INTERNATIONAL,L Business Support
300613.SZ,FHM,I IT
300614.SZ,BCCY,N Environmental Protection
300615.SZ,XTKJ,C Manufacturing
300616.SZ,SPZP,C Manufacturing
300617.SZ,ANKURA SMART POWER,C Manufacturing
300618.SZ,HANRUI COBALT,C Manufacturing
300619.SZ,GOLDEN MILKY WAY,C Manufacturing
300620.SZ,AFR,C Manufacturing
300621.SZ,WEIYE DECORATION,E Construction
300622.SZ,DOCTORGLASSES,F Wholesale & Retail
300623.SZ,JJWD,C Manufacturing
300624.SZ,WONDERSHARE,I IT
300625.SZ,PAK,C Manufacturing
300626.SZ,HUARUI,C Manufacturing
300627.SZ,HCDH,C Manufacturing
300628.SZ,YEALINK NETWORK,C Manufacturing
300629.SZ,KINGSTRONG,C Manufacturing
300630.SZ,PLZY,C Manufacturing
300631.SZ,JIUWU HI-TECH,C Manufacturing
300632.SZ,GOPRO,C Manufacturing
300633.SZ,SONOSCAPE,C Manufacturing
300634.SZ,RICHINFO,I IT
300635.SZ,SINODAAN,M Research & Development
300636.SZ,SYNERGY PHARMA,C Manufacturing
300637.SZ,YFXC,C Manufacturing
300638.SZ,FIBOCOM,C Manufacturing
300639.SZ,HYBRIBIO BIOTECH,C Manufacturing
300640.SZ,PROFIT C&C,C Manufacturing
300641.SZ,ZHENGDAN,C Manufacturing
300642.SZ,TELLGEN,C Manufacturing
300643.SZ,WTZK,C Manufacturing
300644.SZ,NANJING JULONG,C Manufacturing
300645.SZ,ZHENGYUAN ZHIHUI,I IT
300647.SZ,CPS,C Manufacturing
300648.SZ,NEBULA CORP.,C Manufacturing
300649.SZ,HANGZHOU LANDSCAPE,E Construction
300650.SZ,TECNON,F Wholesale & Retail
300651.SZ,JINLING SPORTS,C Manufacturing
300652.SZ,LDK,C Manufacturing
300653.SZ,ZHBIO,C Manufacturing
300654.SZ,ASTRO-CENTURY,R Media
300655.SZ,CCEM,C Manufacturing
300656.SZ,MINDEO,C Manufacturing
300657.SZ,HON-FLEX,C Manufacturing
300658.SZ,YANJAN,C Manufacturing
300659.SZ,ZFINFO,I IT
300660.SZ,JIANGSU LEILI,C Manufacturing
300661.SZ,SGMC,C Manufacturing
300662.SZ,CAREER INTERNATIONAL,L Business Support
300663.SZ,KLRJ,I IT
300664.SZ,PYHB,N Environmental Protection
300665.SZ,FEILU,C Manufacturing
300666.SZ,KFMI,C Manufacturing
300667.SZ,BEETECH,C Manufacturing
300668.SZ,JESJ,M Research & Development
300669.SZ,HANGZHOU HUNING,C Manufacturing
300670.SZ,DAYBRIGHT,C Manufacturing
300671.SZ,FINE MADE,I IT
300672.SZ,GOKE,C Manufacturing
300673.SZ,PETPAL TECH.,C Manufacturing
300674.SZ,YUSYS TECHNOLOGIES,I IT
300675.SZ,JKY,M Research & Development
300676.SZ,BGI GENOMICS,M Research & Development
300677.SZ,YKYL,C Manufacturing
300678.SZ,CASIT,I IT
300679.SZ,ECT,C Manufacturing
300680.SZ,LSKJ,C Manufacturing
300681.SZ,ENPOWER,C Manufacturing
300682.SZ,LONGSHINE,I IT
300683.SZ,HITECK,C Manufacturing
300684.SZ,JONES TECH PLC,C Manufacturing
300685.SZ,AMOYDX,C Manufacturing
300686.SZ,CDL,C Manufacturing
300687.SZ,SIE,I IT
300688.SZ,CYHM,L Business Support
300689.SZ,CTWY,C Manufacturing
300690.SZ,SHUANGYI TECH.,C Manufacturing
300691.SZ,UNION OPTECH,C Manufacturing
300692.SZ,ZHHB,N Environmental Protection
300693.SZ,SINEXCEL,C Manufacturing
300694.SZ,WXLH,C Manufacturing
300695.SZ,ZFGF,C Manufacturing
300696.SZ,ALD,C Manufacturing
300697.SZ,DGHJ,C Manufacturing
300698.SZ,WANMA TECH,C Manufacturing
300699.SZ,GW COMPOS,C Manufacturing
300700.SZ,DIALINE,C Manufacturing
300701.SZ,SENBA,C Manufacturing
300702.SZ,TIANYU PHARMA,C Manufacturing
300703.SZ,CRE8 DIRECT,C Manufacturing
300705.SZ,JIUDIAN,C Manufacturing
300706.SZ,ACETRON,C Manufacturing
300707.SZ,VT INDUSTRIES,C Manufacturing
300708.SZ,FOCUS LIGHTINGS,C Manufacturing
300709.SZ,GIAN,C Manufacturing
300710.SZ,WLGD,C Manufacturing
300711.SZ,GHT,C Manufacturing
300712.SZ,YFGF,E Construction
300713.SZ,INCREASE,C Manufacturing
300715.SZ,"CANLON CO.,LTD",C Manufacturing
300716.SZ,GUO LI,C Manufacturing
300717.SZ,HUAXIN NEW MATERIAL,C Manufacturing
300718.SZ,CSB,C Manufacturing
300719.SZ,ANDAWELL,C Manufacturing
300720.SZ,HDM,C Manufacturing
300721.SZ,YIDA,C Manufacturing
300722.SZ,XINYU GUOKE,C Manufacturing
300723.SZ,YPH,C Manufacturing
300724.SZ,S.C,C Manufacturing
300725.SZ,PHARMABLOCK,C Manufacturing
300726.SZ,HONGDA ELECTRONICS,C Manufacturing
300727.SZ,RUNHE MAT.,C Manufacturing
300729.SZ,LOCTEK,C Manufacturing
300730.SZ,CREATOR INFORMATION,I IT
300731.SZ,KCXY,C Manufacturing
300732.SZ,SYY,M Research & Development
300733.SZ,XILING POWER,C Manufacturing
300735.SZ,DBG,C Manufacturing
300736.SZ,BYBON,O Resident Services
300737.SZ,KESHUN,C Manufacturing
300738.SZ,AOFEI DATA,I IT
300739.SZ,SUNSHINE CIRCUITS,C Manufacturing
300740.SZ,SYG,C Manufacturing
300741.SZ,HUABAO LIMITED,C Manufacturing
300742.SZ,YUEBOO POWER,C Manufacturing
300743.SZ,TODAYTEC,C Manufacturing
300745.SZ,SHINRY,C Manufacturing
300746.SZ,HANJIA DESIGN,M Research & Development
300747.SZ,RAYCUS,C Manufacturing
300748.SZ,JLYC,C Manufacturing
300749.SZ,TOPSTRONG,C Manufacturing
300750.SZ,CATL,C Manufacturing
300751.SZ,MAXWELL,C Manufacturing
300752.SZ,LONGLI,C Manufacturing
300753.SZ,APON,C Manufacturing
300755.SZ,VATS LIQUOR,F Wholesale & Retail
300756.SZ,JINMA RIDES,C Manufacturing
300757.SZ,ROBO,C Manufacturing
300758.SZ,HIFICHEM,C Manufacturing
300759.SZ,PHARMARON,M Research & Development
300760.SZ,MR,C Manufacturing
300761.SZ,LIHUA,A Agriculture
300762.SZ,JUSHRI,C Manufacturing
300763.SZ,JLKJ,C Manufacturing
300765.SZ,CSPC INNOVATION,C Manufacturing
300766.SZ,M.R.TECH,I IT
300767.SZ,QUAKESAFE TECHNOLOGY,C Manufacturing
300768.SZ,DPTECH,I IT
300769.SZ,DFNM,C Manufacturing
300770.SZ,XMGF,I IT
300771.SZ,ZHILAI TECH,C Manufacturing
300772.SZ,WINDEY,C Manufacturing
300773.SZ,LAKALA,I IT
300774.SZ,BGT GROUP,N Environmental Protection
300775.SZ,TRIANGLE DEFENSE,C Manufacturing
300776.SZ,DR LASER,C Manufacturing
300777.SZ,SINOFIBERS,C Manufacturing
300778.SZ,NLT,M Research & Development
300779.SZ,HCPECT,C Manufacturing
300780.SZ,DAWN PRECISION,C Manufacturing
300781.SZ,INSIGHT GROUP,L Business Support
300782.SZ,MAXSCEND,C Manufacturing
300783.SZ,THREE SQUIRRELS,F Wholesale & Retail
300785.SZ,ZDM,I IT
300786.SZ,GUOLIN TECHNOLOGY,C Manufacturing
300787.SZ,CE LINK,C Manufacturing
300788.SZ,CITIC PRESS,R Media
300789.SZ,TANGYUAN ELECTRIC,I IT
300790.SZ,YUTONG OPTICAL,C Manufacturing
300791.SZ,SIRIO,C Manufacturing
300792.SZ,ONECHANCE,I IT
300793.SZ,COSONIC,C Manufacturing
300795.SZ,MEORIENT,L Business Support
300796.SZ,BSM,C Manufacturing
300797.SZ,NCS,M Research & Development
300798.SZ,JIN JI,C Manufacturing
300799.SZ,ZUOJIANG TECH.,I IT
300800.SZ,LIHE,C Manufacturing
300801.SZ,TAIHE TECHNOLOGIES,C Manufacturing
300802.SZ,JUTZE,C Manufacturing
300803.SZ,COMPASS,J Finance
300805.SZ,BRANDMAX,L Business Support
300806.SZ,SIDIKE,C Manufacturing
300807.SZ,TIAMAES TECHNOLOGY,C Manufacturing
300808.SZ,GDDP,C Manufacturing
300809.SZ,HIECISE,C Manufacturing
300810.SZ,ZHONGKEHAIXUNDIGITAL,I IT
300811.SZ,POCO,C Manufacturing
300812.SZ,ETMADE,C Manufacturing
300813.SZ,TAILIN BIOTECH,C Manufacturing
300814.SZ,JOVE,C Manufacturing
300815.SZ,EIT,N Environmental Protection
300816.SZ,ACT BLUE,N Environmental Protection
300817.SZ,SF HOLDING,C Manufacturing
300818.SZ,NAIPU,C Manufacturing
300819.SZ,JUJIE MICRO,C Manufacturing
300820.SZ,INJET,C Manufacturing
300821.SZ,DYSILN,C Manufacturing
300822.SZ,BESTEK,C Manufacturing
300823.SZ,TJK MACHINERY,C Manufacturing
300824.SZ,BUYDEEM GROUP,C Manufacturing
300825.SZ,IAT,M Research & Development
300826.SZ,NJ SURVEYING MAPPING,M Research & Development
300827.SZ,SINENG,C Manufacturing
300828.SZ,RUIXIN TECH,C Manufacturing
300829.SZ,JDKJ,C Manufacturing
300830.SZ,JINXD,I IT
300831.SZ,PERI,C Manufacturing
300832.SZ,SNIBE,C Manufacturing
300833.SZ,HAOYANG,C Manufacturing
300835.SZ,SINOMAG TECH.,C Manufacturing
300836.SZ,KSTOPA INTELLIE,C Manufacturing
300837.SZ,ZKZG,C Manufacturing
300838.SZ,LINOR,C Manufacturing
300839.SZ,BOHUI CHEMICAL,C Manufacturing
300840.SZ,KUTESMART,C Manufacturing
300841.SZ,KANGHUA BIOLOGICAL,C Manufacturing
300842.SZ,DKEM,C Manufacturing
300843.SZ,SHENGLAN TECHNOLOGY,C Manufacturing
300844.SZ,S.P.I,M Research & Development
300845.SZ,JIEAN HI-TECH,I IT
300846.SZ,CAPITALONLINE,I IT
300847.SZ,ZCHG,C Manufacturing
300848.SZ,MRXC,C Manufacturing
300849.SZ,JINSHENG,C Manufacturing
300850.SZ,XQL SLEWING BEARING,C Manufacturing
300851.SZ,JIAODA SIGNAL,I IT
300852.SZ,FUSHI QUALITY,C Manufacturing
300853.SZ,SHENHAO TECHNOLOGY,C Manufacturing
300854.SZ,GAD ENVIRONMENTAL,N Environmental Protection
300855.SZ,TOLAND,C Manufacturing
300856.SZ,COSMOS,C Manufacturing
300857.SZ,SHARETRONIC DATA,C Manufacturing
300858.SZ,SCITOP BIO,C Manufacturing
300859.SZ,XIYU TOURISM,N Environmental Protection
300860.SZ,FENG SHANG CULTURE,R Media
300861.SZ,METRON,C Manufacturing
300862.SZ,LANDUN PHOTOELECTRON,C Manufacturing
300863.SZ,NBKBE,C Manufacturing
300864.SZ,NJUAE,N Environmental Protection
300865.SZ,DAHONGLI,C Manufacturing
300866.SZ,ANKER,C Manufacturing
300867.SZ,SYEP,N Environmental Protection
300868.SZ,JAME TECH.,C Manufacturing
300869.SZ,CONTEC,C Manufacturing
300870.SZ,OLT,C Manufacturing
300871.SZ,HVSEN BIOTECHNOLOGY,C Manufacturing
300872.SZ,TANSUN TECH.,I IT
300873.SZ,HIC,G Transportation
300875.SZ,JIEQIANG EQUIPMENTS,C Manufacturing
300876.SZ,MODERN HIGH-TECH,C Manufacturing
300877.SZ,JCGF,C Manufacturing
300878.SZ,WECOME,C Manufacturing
300879.SZ,DYGF,C Manufacturing
300880.SZ,JIANAN ELEC,C Manufacturing
300881.SZ,SHENGTAK,C Manufacturing
300882.SZ,WELLSUN,C Manufacturing
300883.SZ,LD,C Manufacturing
300884.SZ,DNAKE,C Manufacturing
300885.SZ,SEASHINE,C Manufacturing
300886.SZ,HYXL,C Manufacturing
300887.SZ,PONY TESTING GROUP,M Research & Development
300888.SZ,WINNERMEDICAL,C Manufacturing
300889.SZ,EXC,C Manufacturing
300890.SZ,XFH,C Manufacturing
300891.SZ,HYTY,C Manufacturing
300892.SZ,PINLIVE,F Wholesale & Retail
300893.SZ,SYGF,C Manufacturing
300894.SZ,MARSSENGER,C Manufacturing
300895.SZ,TOPNEW INFO,I IT
300896.SZ,IMEIK,C Manufacturing
300897.SZ,SKZN,C Manufacturing
300898.SZ,PANDA DAIRY,C Manufacturing
300899.SZ,KEYSINO TECH,N Environmental Protection
300900.SZ,GLAVI,C Manufacturing
300901.SZ,ZOENN DESIGN,M Research & Development
300902.SZ,GAD,C Manufacturing
300903.SZ,KINGSHINE,C Manufacturing
300905.SZ,PPM (SUZHOU),C Manufacturing
300906.SZ,EVERBRIGHT,C Manufacturing
300907.SZ,KP TECH,C Manufacturing
300908.SZ,ZHONGJING FOOD,C Manufacturing
300909.SZ,HCD,C Manufacturing
300910.SZ,RICHFUL,C Manufacturing
300911.SZ,ENTIVE,C Manufacturing
300912.SZ,KAILONG HIGH TECH,N Environmental Protection
300913.SZ,ZHAOLONG,C Manufacturing
300915.SZ,HIROAD,C Manufacturing
300916.SZ,LONGTECH,C Manufacturing
300917.SZ,SDGS,K Real Estate
300918.SZ,NANSHAN FASHION,C Manufacturing
300919.SZ,CNGR,C Manufacturing
300920.SZ,RUNYANG TECH.,C Manufacturing
300921.SZ,NOVA TECH,I IT
300922.SZ,TIANQIN EQUIPMENT,C Manufacturing
300923.SZ,YEAL,C Manufacturing
300925.SZ,FARBEN INFORMATION,I IT
300926.SZ,BOJUN TECHNOLOGY,C Manufacturing
300927.SZ,JIANGTIANCHEMICAL,C Manufacturing
300928.SZ,HAXC,M Research & Development
300929.SZ,HUAQITECH,N Environmental Protection
300930.SZ,YITONG NEW MATERIALS,C Manufacturing
300931.SZ,GENERAL ELEVATOR,C Manufacturing
300932.SZ,SANYOU CORP.,C Manufacturing
300933.SZ,ZCGF,C Manufacturing
300935.SZ,YJK,I IT
300936.SZ,ZYST,C Manufacturing
300937.SZ,YEG MEDICAL,F Wholesale & Retail
300938.SZ,EMTEK,M Research & Development
300939.SZ,AV-DISPLAY,C Manufacturing
300940.SZ,NJG,C Manufacturing
300941.SZ,CHASE,I IT
300942.SZ,BIOEASY,C Manufacturing
300943.SZ,CHZK,C Manufacturing
300945.SZ,MCLON,F Wholesale & Retail
300946.SZ,HENGDA NEW MATERIALS,C Manufacturing
300947.SZ,DOBE GROUP,L Business Support
300948.SZ,GREENSUM ECOLOGY,N Environmental Protection
300949.SZ,L&A DESIGN,M Research & Development
300950.SZ,DORIGHT,C Manufacturing
300951.SZ,BSCTECH,C Manufacturing
300952.SZ,HANVO SAFETY,C Manufacturing
300953.SZ,ZHENYU TECH,C Manufacturing
300955.SZ,JAHEN,C Manufacturing
300956.SZ,ANHUI SHINY,C Manufacturing
300957.SZ,BTN,C Manufacturing
300958.SZ,BCEER,N Environmental Protection
300959.SZ,ONLINE OFFLINE,I IT
300960.SZ,TYKJ,C Manufacturing
300961.SZ,HYNAR WATER,N Environmental Protection
300962.SZ,ZHONGJIN IRRADIATION,C Manufacturing
300963.SZ,ZHONGZHOU ALLOY,C Manufacturing
300964.SZ,ALLFAVOR,C Manufacturing
300965.SZ,HENGYU DATACOM,C Manufacturing
300966.SZ,GOTO BIOPHARM,C Manufacturing
300967.SZ,XMGFGS,A Agriculture
300968.SZ,GCPC,C Manufacturing
300969.SZ,HMC,C Manufacturing
300970.SZ,HUALV BIO,A Agriculture
300971.SZ,BOYA PRECISION INDU,C Manufacturing
300972.SZ,WANCHEN BIOTECH,A Agriculture
300973.SZ,LIGAO FOODS,C Manufacturing
300975.SZ,SUNLORD ELECTRONICS,F Wholesale & Retail
300976.SZ,TARRY,C Manufacturing
300977.SZ,RIDGE,M Research & Development
300978.SZ,DJCORP,C Manufacturing
300979.SZ,HLIG,C Manufacturing
300980.SZ,XIANGYUAN,C Manufacturing
300981.SZ,ZHYL,C Manufacturing
300982.SZ,SWEET,E Construction
300983.SZ,UA,M Research & Development
300984.SZ,JWPM,C Manufacturing
300985.SZ,ZHIYUAN NEW ENERGY,C Manufacturing
300986.SZ,GETO,C Manufacturing
300987.SZ,CWCM,I IT
300988.SZ,JRTY,C Manufacturing
300989.SZ,LAYOUT,M Research & Development
300990.SZ,TONG FEI,C Manufacturing
300991.SZ,CHY,C Manufacturing
300992.SZ,TAIFU PUMP,C Manufacturing
300993.SZ,YUMA SUN-SHADING,C Manufacturing
300994.SZ,JOYKIE,C Manufacturing
300995.SZ,QDXC,C Manufacturing
300996.SZ,PANSOFT,I IT
300997.SZ,HLJ,C Manufacturing
300998.SZ,NINGBO FANGZHENG,C Manufacturing
300999.SZ,ARAWANA,C Manufacturing
301000.SZ,ZMKJ,C Manufacturing
301001.SZ,KAYTUNE,I IT
301002.SZ,SOSEN ELECTRONICS,C Manufacturing
301003.SZ,BOILN,C Manufacturing
301004.SZ,CAYI,C Manufacturing
301005.SZ,SHCJ,C Manufacturing
301006.SZ,METER INSTRUMENTS,C Manufacturing
301007.SZ,DMS,C Manufacturing
301008.SZ,HONGCHANG,C Manufacturing
301009.SZ,COCO,C Manufacturing
301010.SZ,JINGXUE INSULATION,C Manufacturing
301011.SZ,HLKJ,C Manufacturing
301012.SZ,YDKJ,C Manufacturing
301013.SZ,LIHEXING,C Manufacturing
301015.SZ,BAHEAL MEDICAL,F Wholesale & Retail
301016.SZ,LEW,C Manufacturing
301017.SZ,SHUYU PHARMACY,F Wholesale & Retail
301018.SZ,SHENLING,C Manufacturing
301019.SZ,COLOR MASTER BATCH,C Manufacturing
301020.SZ,MFKJ,C Manufacturing
301021.SZ,INNO LASER,C Manufacturing
301022.SZ,HTK,C Manufacturing
301023.SZ,JIANGNAN YIFAN,C Manufacturing
301024.SZ,HYP-ARCH,M Research & Development
301025.SZ,DOOK,R Media
301026.SZ,HOOTECH,C Manufacturing
301027.SZ,HLJT,M Research & Development
301028.SZ,EAMI,C Manufacturing
301029.SZ,YHD,C Manufacturing
301030.SZ,SJEF,C Manufacturing
301031.SZ,SINOFUSE ELECTRIC,C Manufacturing
301032.SZ,XCGF,C Manufacturing
301033.SZ,MEDPRIN,C Manufacturing
301035.SZ,RAINBOW CHEMICAL,C Manufacturing
301036.SZ,SUNLOUR,C Manufacturing
301037.SZ,BLJ,C Manufacturing
301038.SZ,SWPD,M Research & Development
301039.SZ,CIMC VEHICLES,C Manufacturing
301040.SZ,ZHHL,C Manufacturing
301041.SZ,KINGBROTHER,C Manufacturing
301042.SZ,RAYSHARP,C Manufacturing
301043.SZ,NEDFON,C Manufacturing
301045.SZ,TALANT,C Manufacturing
301046.SZ,NENGHUI TECH.,M Research & Development
301047.SZ,SINO BIOLOGICAL,M Research & Development
301048.SZ,GEMAC,C Manufacturing
301049.SZ,CHAOYUE TECHNOLOGY,N Environmental Protection
301050.SZ,RML,C Manufacturing
301051.SZ,XINHAO PH.,C Manufacturing
301052.SZ,GUOMAI,R Media
301053.SZ,YOANTION,C Manufacturing
301055.SZ,ZXQ,C Manufacturing
301056.SZ,SICHER,C Manufacturing
301057.SZ,HLXC,C Manufacturing
301058.SZ,COFCO ET,M Research & Development
301059.SZ,JSJ,C Manufacturing
301060.SZ,LABWAY,F Wholesale & Retail
301061.SZ,MOTO,C Manufacturing
301062.SZ,SHANGHAI AILU,C Manufacturing
301063.SZ,HAIGUO,C Manufacturing
301065.SZ,BENLI TECHNOLOGY,C Manufacturing
301066.SZ,WENSLI,C Manufacturing
301067.SZ,FULLINK,C Manufacturing
301068.SZ,DDHY,C Manufacturing
301069.SZ,KS NEW MATERIALS,C Manufacturing
301070.SZ,KALE,C Manufacturing
301071.SZ,LILIANG DIAMOND,C Manufacturing
301072.SZ,ZHONGJIE TECH.,C Manufacturing
301073.SZ,SSAW HOTELS,H Hotels & Catering
301075.SZ,DUO RUI PHARMA,C Manufacturing
301076.SZ,SINO-HIGH,C Manufacturing
301077.SZ,CHINASTARS,C Manufacturing
