Company,Ticker,Sector
Toyota Motor Corporation,7203.T,Consumer Discretionary
Keyence Corporation,6861.T,Information Technology
Sony Corporation,6758.T,Consumer Discretionary
"NTT DOCOMO, INC",9437.T,Communication Services
"Recruit Holdings Co., Ltd",6098.T,Industrials
Nippon Telegraph and Telephone Corporation,9432.T,Communication Services
SoftBank Group Corp,9984.T,Communication Services
"Mitsubishi UFJ Financial Group, Inc",8306.T,Financials
KDDI Corporation,9433.T,Communication Services
"Shin-Etsu Chemical Co., Ltd",4063.T,Materials
"Fast Retailing Co., Ltd",9983.T,Consumer Discretionary
Tokyo Electron Limited,8035.T,Information Technology
"Daikin Industries,Ltd",6367.T,Industrials
Softbank Corp,9434.T,Communication Services
Nidec Corporation,6594.T,Industrials
"Chugai Pharmaceutical Co., Ltd",4519.T,Health Care
"Hitachi, Ltd",6501.T,Industrials
HOYA Corporation,7741.T,Health Care
"Nintendo Co., Ltd",7974.T,Communication Services
"Honda Motor Co., Ltd",7267.T,Consumer Discretionary
"Oriental Land Co., Ltd",4661.T,Consumer Discretionary
DENSO Corporation,6902.T,Consumer Discretionary
"Murata Manufacturing Co., Ltd",6981.T,Information Technology
Mitsubishi Corporation,8058.T,Industrials
"Sumitomo Mitsui Financial Group, Inc",8316.T,Financials
Yahoo Japan Corporation,4689.T,Communication Services
Takeda Pharmaceutical Company Limited,4502.T,Health Care
"Daiichi Sankyo Company, Limited",4568.T,Health Care
ITOCHU Corporation,8001.T,Industrials
"M3, Inc",2413.T,Health Care
Fanuc Corporation,6954.T,Industrials
"Mitsui & Co., Ltd",8031.T,Industrials
"Tokio Marine Holdings, Inc",8766.T,Financials
"Seven & i Holdings Co., Ltd",3382.T,Consumer Staples
SMC Corporation,6273.T,Industrials
"Mizuho Financial Group, Inc",8411.T,Financials
Japan Tobacco Inc,2914.T,Consumer Staples
Fujitsu Limited,6702.T,Information Technology
Terumo Corporation,4543.T,Health Care
Bridgestone Corporation,5108.T,Consumer Discretionary
Astellas Pharma Inc,4503.T,Health Care
"JAPAN POST BANK Co.,Ltd",7182.T,Financials
FUJIFILM Holdings Corporation,4901.T,Information Technology
"Japan Post Holdings Co., Ltd",6178.T,Financials
Central Japan Railway Company,9022.T,Industrials
Mitsubishi Electric Corporation,6503.T,Industrials
Panasonic Corporation,6752.T,Consumer Discretionary
Kao Corporation,4452.T,Consumer Staples
Olympus Corporation,7733.T,Health Care
NTT DATA Corporation,9613.T,Information Technology
"Shiseido Company, Limited",4911.T,Consumer Staples
Canon Inc,7751.T,Information Technology
Sysmex Corporation,6869.T,Health Care
Toyota Industries Corporation,6201.T,Consumer Discretionary
Shimano Inc,7309.T,Consumer Discretionary
Kubota Corporation,6326.T,Industrials
East Japan Railway Company,9020.T,Industrials
"Nippon Paint Holdings Co., Ltd",4612.T,Materials
"Asahi Group Holdings, Ltd",2502.T,Consumer Staples
Unicharm Corporation,8113.T,Consumer Staples
"Dai-ichi Life Holdings, Inc",8750.T,Financials
"Otsuka Holdings Co., Ltd",4578.T,Health Care
ORIX Corporation,8591.T,Financials
Komatsu Ltd,6301.T,Industrials
Renesas Electronics Corporation,6723.T,Information Technology
"Mitsui Fudosan Co., Ltd",8801.T,Real Estate
"Daiwa House Industry Co.,Ltd",1925.T,Real Estate
Suzuki Motor Corporation,7269.T,Consumer Discretionary
Kyocera Corporation,6971.T,Information Technology
"Nomura Research Institute, Ltd",4307.T,Information Technology
"Nitori Holdings Co., Ltd",9843.T,Consumer Discretionary
"Eisai Co., Ltd",4523.T,Health Care
"Shionogi & Co., Ltd",4507.T,Health Care
"Mitsubishi Estate Co., Ltd",8802.T,Real Estate
"Nissan Motor Co., Ltd",7201.T,Consumer Discretionary
"Aeon Co., Ltd",8267.T,Consumer Staples
Toshiba Corporation,6502.T,Industrials
Lasertec Corporation,6920.T,Information Technology
"MS&AD Insurance Group Holdings, Inc",8725.T,Financials
OMRON Corporation,6645.T,Information Technology
Sumitomo Corporation,8053.T,Industrials
"Kyowa Hakko Kirin Co., Ltd",4151.T,Health Care
"Sumitomo Realty & Development Co., Ltd",8830.T,Real Estate
"OBIC Co., Ltd",4684.T,Information Technology
Sg Holdings Ltd,9143.T,Industrials
Nippon Steel & Sumitomo Metal Corporation,5401.T,Materials
"Ajinomoto Co., Inc",2802.T,Consumer Staples
BANDAI NAMCO Holdings Inc,7832.T,Consumer Discretionary
"SECOM CO., LTD",9735.T,Industrials
"Sompo Holdings, Inc",8630.T,Financials
"Kirin Holdings Company, Limited",2503.T,Consumer Staples
Toyota Tsusho Corporation,8015.T,Industrials
"Nomura Holdings, Inc",8604.T,Financials
Advantest Corporation,6857.T,Information Technology
Kikkoman Corporation,2801.T,Consumer Staples
Subaru Corporation,7270.T,Consumer Discretionary
"Rakuten, Inc",4755.T,Consumer Discretionary
Marubeni Corporation,8002.T,Industrials
"NEXON Co., Ltd",3659.T,Communication Services
NEC Corporation,6701.T,Information Technology
Asahi Kasei Corporation,3407.T,Materials
"Sekisui House, Ltd",1928.T,Consumer Discretionary
"Don Quijote Holdings Co., Ltd",7532.T,Consumer Discretionary
Makita Corporation,6586.T,Industrials
"JXTG Holdings, Inc",5020.T,Energy
"Japan Exchange Group, Inc",8697.T,Financials
"Sumitomo Mitsui Trust Holdings, Inc",8309.T,Financials
Inpex Corporation,1605.T,Energy
Suntory Beverage & Food Limited,2587.T,Consumer Staples
TDK Corporation,6762.T,Information Technology
Mitsubishi Chemical Holdings Corporation,4188.T,Materials
Shimadzu Corporation,7701.T,Information Technology
AGC Inc,5201.T,Industrials
LINE Corporation,3938.T,Communication Services
ANA Holdings Inc,9202.T,Industrials
Oracle Corporation Japan,4716.T,Information Technology
Nippon Yusen Kabushiki Kaisha,9101.T,Industrials
MISUMI Group Inc,9962.T,Industrials
YASKAWA Electric Corporation,6506.T,Industrials
"MonotaRO Co., Ltd",3064.T,Industrials
"Daifuku Co., Ltd",6383.T,Industrials
"ZOZO, Inc",3092.T,Consumer Discretionary
Yamaha Corporation,7951.T,Consumer Discretionary
"Ono Pharmaceutical Co., Ltd",4528.T,Health Care
"Sumitomo Electric Industries, Ltd",5802.T,Consumer Discretionary
Taiyo Nippon Sanso Corporation,4091.T,Materials
Nippon Building Fund Incorporation,8951.T,Real Estate
"Sumitomo Metal Mining Co., Ltd",5713.T,Materials
"Toray Industries, Inc",3402.T,Materials
Dentsu Inc,4324.T,Communication Services
"FamilyMart UNY Holdings Co., Ltd",8028.T,Consumer Staples
Isuzu Motors Limited,7202.T,Consumer Discretionary
Nitto Denko Corporation,6988.T,Materials
Sony Financial Holdings Inc,8729.T,Financials
Mitsubishi Tanabe Pharma Corporation,4508.T,Health Care
"Yamaha Motor Co., Ltd",7272.T,Consumer Discretionary
"Aisin Seiki Co., Ltd",7259.T,Consumer Discretionary
"Japan Airlines Co., Ltd",9201.T,Industrials
MinebeaMitsumi Inc,6479.T,Industrials
"Resona Holdings, Inc",8308.T,Financials
Hitachi High-Technologies Corporation,8036.T,Information Technology
Nihon M&A Center Inc,2127.T,Industrials
"CyberAgent, Inc",4751.T,Communication Services
"Koito Manufacturing Co., Ltd",7276.T,Consumer Discretionary
Otsuka Corporation,4768.T,Information Technology
West Japan Railway Company,9021.T,Industrials
Disco Corporation,6146.T,Information Technology
"GMO Payment Gateway, Inc",3769.T,Information Technology
"Meiji Holdings Co., Ltd",2269.T,Consumer Staples
"Yamato Holdings Co., Ltd",9064.T,Industrials
Mercari Inc,4385.T,Consumer Discretionary
Daiwa Securities Group Inc,8601.T,Financials
"Mitsubishi Heavy Industries, Ltd",7011.T,Industrials
Hamamatsu Photonics K.K,6965.T,Information Technology
"Chubu Electric Power Company, Incorporated",9502.T,Utilities
"Idemitsu Kosan Co.,Ltd",5019.T,Energy
"JFE Holdings, Inc",5411.T,Materials
"The Kansai Electric Power Company, Incorporated",9503.T,Utilities
"Hitachi Chemical Company, Ltd",4217.T,Materials
Tokyu Corporation,9005.T,Industrials
"ROHM Co., Ltd",6963.T,Information Technology
"Sumitomo Chemical Company, Limited",4005.T,Materials
"Nippon Prologis REIT, Inc",3283.T,Real Estate
Japan Real Estate Investment Corporation,8952.T,Real Estate
"Hitachi Metals, Ltd",5486.T,Materials
Benefit One Inc,2412.T,Industrials
"Yakult Honsha Co.,Ltd",2267.T,Consumer Staples
"T&D Holdings, Inc",8795.T,Financials
Nissan Chemical Corporation,4021.T,Materials
"Toho Co., Ltd",9602.T,Communication Services
"Nissin Foods Holdings Co., Ltd",2897.T,Consumer Staples
Toto Ltd,5332.T,Industrials
"Open House Co., Ltd",3288.T,Consumer Discretionary
"Daito Trust Construction Co.,Ltd",1878.T,Real Estate
"Odakyu Electric Railway Co., Ltd",9007.T,Industrials
Mitsubishi UFJ Lease & Finance Company Limited,8593.T,Financials
"Welcia Holdings Co., Ltd",3141.T,Consumer Staples
Trend Micro Incorporated,4704.T,Information Technology
"Tokyo Gas Co., Ltd",9531.T,Utilities
LIXIL Group Corporation,5938.T,Industrials
Sharp Corporation,6753.T,Consumer Discretionary
Konami Holdings Corporation,9766.T,Communication Services
"Mitsui O.S.K. Lines, Ltd",9104.T,Industrials
"Koei Tecmo Holdings Co., Ltd",3635.T,Communication Services
"Sekisui Chemical Co., Ltd",4204.T,Consumer Discretionary
"Toei Animation Co.,Ltd",4816.T,Communication Services
JSR Corporation,4185.T,Materials
"Hankyu Hanshin Holdings, Inc",9042.T,Industrials
"Osaka Gas Co., Ltd",9532.T,Utilities
GLP J-REIT,3281.T,Real Estate
ITOCHU Techno-Solutions Corporation,4739.T,Information Technology
"Hikari Tsushin, Inc",9435.T,Consumer Discretionary
"Ibiden Co., Ltd",4062.T,Information Technology
"Iida Group Holdings Co., Ltd",3291.T,Consumer Discretionary
"Japan Post Insurance Co., Ltd",7181.T,Financials
"Kobe Bussan Co., Ltd",3038.T,Consumer Staples
"Kakaku.com, Inc",2371.T,Communication Services
"Ricoh Company, Ltd",7752.T,Information Technology
KOSÃ‰ Corporation,4922.T,Consumer Staples
"Hulic Co., Ltd",3003.T,Real Estate
"Nomura Real Estate Master Fund, Inc",3462.T,Real Estate
"Asahi Intecc Co., Ltd",7747.T,Health Care
Tokyo Century Corporation,8439.T,Financials
Seiko Epson Corporation,6724.T,Information Technology
"Taiyo Yuden Co., Ltd",6976.T,Information Technology
"Sumitomo Dainippon Pharma Co., Ltd",4506.T,Health Care
"Dai Nippon Printing Co., Ltd",7912.T,Industrials
Taisei Corporation,1801.T,Industrials
TIS Inc,3626.T,Information Technology
Kajima Corporation,1812.T,Industrials
"SBI Holdings, Inc",8473.T,Financials
"Square Enix Holdings Co., Ltd",9684.T,Communication Services
SCSK Corporation,9719.T,Information Technology
"BayCurrent Consulting, Inc",6532.T,Industrials
Daiwa House REIT Investment Corporation,8984.T,Real Estate
Hoshizaki Corporation,6465.T,Industrials
"Ito En, Ltd",2593.T,Consumer Staples
"Mitsui Chemicals, Inc",4183.T,Materials
COSMOS Pharmaceutical Corporation,3349.T,Consumer Staples
"McDonald's Holdings Company (Japan), Ltd",2702.T,Consumer Discretionary
"Kintetsu Group Holdings Co., Ltd",9041.T,Industrials
"Fuji Electric Co., Ltd",6504.T,Industrials
Keio Corporation,9008.T,Industrials
"Kansai Paint Co., Ltd",4613.T,Materials
"Nippon Express Co., Ltd",9062.T,Industrials
"Hitachi Construction Machinery Co., Ltd",6305.T,Industrials
Obayashi Corporation,1802.T,Industrials
Hakuhodo DY Holdings Inc,2433.T,Communication Services
"Kobayashi Pharmaceutical Co., Ltd",4967.T,Consumer Staples
Tsuruha Holdings Inc,3391.T,Consumer Staples
"Persol Holdings Co.,Ltd",2181.T,Industrials
"Capcom Co., Ltd",9697.T,Communication Services
Tosoh Corporation,4042.T,Materials
"Hirose Electric Co.,Ltd",6806.T,Information Technology
"Hino Motors, Ltd",7205.T,Industrials
"Acom Co., Ltd",8572.T,Financials
Mazda Motor Corporation,7261.T,Consumer Discretionary
Shimizu Corporation,1803.T,Industrials
Sumco Corporation,3436.T,Information Technology
Showa Shell Sekiyu K.K,5002.T,Energy
"Toppan Printing Co., Ltd",7911.T,Industrials
"Brother Industries, Ltd",6448.T,Information Technology
Azbil Corporation,6845.T,Information Technology
"Santen Pharmaceutical Co., Ltd",4536.T,Health Care
"Keisei Electric Railway Co., Ltd",9009.T,Industrials
"Nippon Shinyaku Co., Ltd",4516.T,Health Care
"Ryohin Keikaku Co., Ltd",7453.T,Consumer Discretionary
"NGK Insulators, Ltd",5333.T,Industrials
Kurita Water Industries Ltd,6370.T,Industrials
"Tobu Railway Co., Ltd",9001.T,Industrials
"Rakus Co., Ltd",3923.T,Information Technology
"Tokyo Electric Power Company Holdings, Incorporated",9501.T,Utilities
Sushiro Global Holdings Ltd,3563.T,Consumer Discretionary
Rinnai Corporation,5947.T,Consumer Discretionary
"Concordia Financial Group, Ltd",7186.T,Financials
"Matsumotokiyoshi Holdings Co., Ltd",3088.T,Consumer Staples
Japan Retail Fund Investment Corporation,8953.T,Real Estate
"The Chiba Bank, Ltd",8331.T,Financials
Oji Holdings Corporation,3861.T,Materials
Yokogawa Electric Corporation,6841.T,Information Technology
Nisshin Seifun Group Inc,2002.T,Consumer Staples
POLA Orbis Holdings Inc,4927.T,Consumer Staples
Lion Corporation,4912.T,Consumer Staples
"The Shizuoka Bank, Ltd",8355.T,Financials
"Lawson, Inc",2651.T,Consumer Staples
Ebara Corporation,6361.T,Industrials
ORIX JREIT Inc,8954.T,Real Estate
"Japan Airport Terminal Co., Ltd",9706.T,Industrials
Workman Ltd,7564.T,Consumer Discretionary
"Taisho Pharmaceutical Holdings Co., Ltd",4581.T,Health Care
"Sohgo Security Services Co.,Ltd",2331.T,Industrials
"ABC-Mart, Inc",2670.T,Consumer Discretionary
NOF Corporation,4403.T,Materials
"Toyo Suisan Kaisha, Ltd",2875.T,Consumer Staples
Mitsubishi Motors Corporation,7211.T,Consumer Discretionary
"Kawasaki Kisen Kaisha, Ltd",9107.T,Industrials
Advance Residence Investment Corporation,3269.T,Real Estate
"Sugi Holdings Co.,Ltd",7649.T,Consumer Staples
Tokyu Fudosan Holdings Corporation,3289.T,Real Estate
Nippo Corporation,1881.T,Industrials
"Shinko Electric Industries Co., Ltd",6967.T,Information Technology
"Miura Co., Ltd",6005.T,Industrials
"Nomura Real Estate Holdings, Inc",3231.T,Real Estate
"Mitsubishi Gas Chemical Company, Inc",4182.T,Materials
ASICS Corporation,7936.T,Consumer Discretionary
Nikon Corporation,7731.T,Consumer Discretionary
Sojitz Corporation,2768.T,Industrials
Harmonic Drive Systems Inc,6324.T,Industrials
"Marui Group Co., Ltd",8252.T,Consumer Discretionary
Nabtesco Corporation,6268.T,Industrials
Fancl Corporation,4921.T,Consumer Staples
"USS Co., Ltd",4732.T,Consumer Discretionary
"Stanley Electric Co., Ltd",6923.T,Consumer Discretionary
MediPal Holdings Corporation,7459.T,Health Care
Freee Kk,4478.T,Information Technology
"Kawasaki Heavy Industries, Ltd",7012.T,Industrials
United Urban Investment Corporation,8960.T,Real Estate
"Sumitomo Forestry Co., Ltd",1911.T,Consumer Discretionary
IHI Corporation,7013.T,Industrials
"SCREEN Holdings Co., Ltd",7735.T,Information Technology
"Toho Gas Co., Ltd",9533.T,Utilities
Industrial & Infrastructure Fund Investment Corporation,3249.T,Real Estate
Seibu Holdings Inc,9024.T,Industrials
Kyushu Railway Company,9142.T,Industrials
"Money Forward, Inc",3994.T,Information Technology
NH Foods Ltd,2282.T,Consumer Staples
"Fukuoka Financial Group, Inc",8354.T,Financials
HASEKO Corporation,1808.T,Consumer Discretionary
"Yamazaki Baking Co., Ltd",2212.T,Consumer Staples
"Sundrug Co.,Ltd",9989.T,Consumer Staples
"OBIC Business Consultants Co., Ltd",4733.T,Information Technology
"Kyushu Electric Power Company, Incorporated",9508.T,Utilities
NSK Ltd,6471.T,Industrials
Showa Denko K.K,4004.T,Materials
"Zensho Holdings Co., Ltd",7550.T,Consumer Discretionary
"Hitachi Transport System, Ltd",9086.T,Industrials
"Shinsei Bank, Limited",8303.T,Financials
"Tohoku Electric Power Company, Incorporated",9506.T,Utilities
"Casio Computer Co., Ltd",6952.T,Consumer Discretionary
"Sekisui House Reit, Inc",3309.T,Real Estate
"Amada Holdings Co., Ltd",6113.T,Industrials
"The Bank of Kyoto, Ltd",8369.T,Financials
"TechnoPro Holdings, Inc",6028.T,Industrials
Kadokawa Dwango Corporation,9468.T,Communication Services
Jmdc Inc,4483.T,Health Care
Iwatani Corporation,8088.T,Energy
Kinden Corporation,1944.T,Industrials
Toyota Boshoku Corporation,3116.T,Consumer Discretionary
SUMITOMO RUBBER INDUSTRIES LTD,5110.T,Consumer Discretionary
Air Water Inc,4088.T,Materials
Nichirei Corporation,2871.T,Consumer Staples
Japan Prime Realty Investment Corporation,8955.T,Real Estate
"SHIFT, Inc",3697.T,Information Technology
"Rohto Pharmaceutical Co., Ltd",4527.T,Consumer Staples
JEOL Ltd,6951.T,Health Care
Hitachi Capital Corporation,8586.T,Financials
"AEON Mall Co., Ltd",8905.T,Real Estate
"Yamada Denki Co., Ltd",9831.T,Consumer Discretionary
"Nagoya Railroad Co., Ltd",9048.T,Industrials
Sansan Inc,4443.T,Information Technology
Sega Sammy Holdings Inc,6460.T,Consumer Discretionary
"Kuraray Co., Ltd",3405.T,Materials
Kewpie Corporation,2809.T,Consumer Staples
"ZENKOKU HOSHO Co.,Ltd",7164.T,Financials
JustSystems Corporation,4686.T,Information Technology
Nifco Inc,7988.T,Consumer Discretionary
"Skylark Holdings Co., Ltd",3197.T,Consumer Discretionary
COMSYS Holdings Corporation,1721.T,Industrials
"Calbee, Inc",2229.T,Consumer Staples
"The Chugoku Electric Power Co., Inc",9504.T,Utilities
"Sumitomo Heavy Industries, Ltd",6302.T,Industrials
Activia Properties Inc,3279.T,Real Estate
Daiwa Office Investment Corporation,8976.T,Real Estate
"SMS Co., Ltd",2175.T,Industrials
"NGK Spark Plug Co., Ltd",5334.T,Consumer Discretionary
Keikyu Corporation,9006.T,Industrials
PeptiDream Inc,4587.T,Health Care
"Relo Group, Inc",8876.T,Real Estate
Takara Bio Inc,4974.T,Health Care
"Tokyo Tatemono Co., Ltd",8804.T,Real Estate
"JCR Pharmaceuticals Co., Ltd",4552.T,Health Care
"SHIMAMURA Co., Ltd",8227.T,Consumer Discretionary
JTEKT Corporation,6473.T,Consumer Discretionary
Internet Initiative Japan Inc,3774.T,Communication Services
Alfresa Holdings Corporation,2784.T,Health Care
"RENOVA, Inc",9519.T,Utilities
Daio Paper Corporation,3880.T,Materials
House Foods Group Inc,2810.T,Consumer Staples
Denka Company Limited,4061.T,Materials
"The Yokohama Rubber Co., Ltd",5101.T,Consumer Discretionary
LaSalle LOGIPORT REIT,3466.T,Real Estate
"AEON Financial Service Co., Ltd",8570.T,Financials
ZEON Corporation,4205.T,Materials
NS Solutions Corporation,2327.T,Information Technology
"Nippon Television Holdings, Inc",9404.T,Communication Services
"Hisamitsu Pharmaceutical Co., Inc",4530.T,Health Care
Canon Marketing Japan Inc,8060.T,Information Technology
Paltac Corporation,8283.T,Consumer Discretionary
"Aozora Bank, Ltd",8304.T,Financials
"Morinaga Milk Industry Co., Ltd",2264.T,Consumer Staples
"HORIBA, Ltd",6856.T,Information Technology
"Keihan Holdings Co., Ltd",9045.T,Industrials
Pigeon Corporation,7956.T,Consumer Staples
FP Corporation,7947.T,Materials
Kenedix Office Investment Corporation,8972.T,Real Estate
"GMO Internet, Inc",9449.T,Information Technology
Nippon Accommodations Fund Inc,3226.T,Real Estate
Takara Holdings Inc,2531.T,Consumer Staples
AEON REIT Investment Corporation,3292.T,Real Estate
Mitsui Fudosan Logistics Park Inc,3471.T,Real Estate
Katitas Ltd,8919.T,Real Estate
Goldwin Inc,8111.T,Consumer Discretionary
Isetan Mitsukoshi Holdings Ltd,3099.T,Consumer Discretionary
"Konica Minolta, Inc",4902.T,Information Technology
Sanwa Holdings Corporation,5929.T,Industrials
Teijin Limited,3401.T,Materials
"Menicon Co., Ltd",7780.T,Health Care
NEC Networks & System Integration Corporation,1973.T,Information Technology
Sankyu Inc,9065.T,Industrials
"Nihon Unisys, Ltd",8056.T,Information Technology
Nihon Kohden Corporation,6849.T,Health Care
"ULVAC, Inc",6728.T,Information Technology
"Seria Co., Ltd",2782.T,Consumer Discretionary
"Toyo Tire & Rubber Co., Ltd",5105.T,Consumer Discretionary
"THK Co., Ltd",6481.T,Industrials
"Tokai Carbon Co., Ltd",5301.T,Materials
Japan Hotel REIT Investment Corporation,8985.T,Real Estate
"Net One Systems Co., Ltd",7518.T,Information Technology
"Toyoda Gosei Co., Ltd",7282.T,Consumer Discretionary
"Tokyo Broadcasting System Holdings, Inc",9401.T,Communication Services
Kyowa Exeo Corporation,1951.T,Industrials
"Electric Power Development Co., Ltd",9513.T,Utilities
"Japan Logistics Fund, Inc",8967.T,Real Estate
Fujitsu General Limited,6755.T,Consumer Discretionary
DIC Corporation,4631.T,Materials
Descente Ltd,8114.T,Consumer Discretionary
Kaneka Corporation,4118.T,Materials
"Seven Bank, Ltd",8410.T,Financials
