Ticker,Company,Sector
AAG.V,Aftermath Silver Ltd,
AAU.V,Angold Resources Ltd,
AAV.TO,Advantage Oil & Gas Ltd.,"Energy, Oil and Gas"
ABR.V,Arbor Metals Corp,
ABRA.V,Abrasilver Resource Corp,
ABST.TO,Absolute Software Corp,"Software, Internet, Technology"
ABX.TO,Barrick Gold Corp.,
ABXX.NE,Abaxx Technologies Inc,
AC.TO,Air Canada Inc.,
ACB.TO,Aurora Cannabis Inc,
ACDCCSE,Extreme Vehicle Battery Technologies Corp,
ACO-X.TO,Atco Ltd. (Class I),"Energy, Oil and Gas, Utilities"
ACOG.V,Alpha Cognition Inc,
ACQ.TO,AutoCanada Inc,"Transportation, Automotive"
ACST.V,Acasti Pharma Inc (Class A),"Manufacturing, Healthcare, Pharmaceuticals"
ACU.V,Aurora Solar Technologies Inc,
AD-UN.TO,Alaris Equity Partners Income Trust,
ADCO.TO,Adcore Inc,
ADK.V,Diagnos Inc.,
ADW-A.TO,Andrew Peller Limited (Class A),"Food, Alcohol and Tobacco, Consumer Products"
ADZN.V,Adventus Mining Corporation,
AEM.TO,Agnico Eagle Mines Ltd,"Mining, Materials"
AEX.V,AEX Gold Inc,
AEZS.TO,Aeterna Zentaris Inc.,"Manufacturing, Healthcare, Biotechnology"
AFM.V,Alphamin Resources Corp,
AFN.TO,Ag Growth International Inc,"Manufacturing, Machinery, Engineering"
AGF-B.TO,AGF Management Ltd. (Class B),Finance
AGI.TO,Alamos Gold Inc. (Class A),"Mining, Materials"
AH.TO,Aleafia Health Inc.,"Manufacturing, Cannabis, Healthcare"
AHC.TO,Apollo Healthcare Corp (Class B),
AI.TO,Atrium Mortgage Investment Corp,Finance
AIF.TO,Altus Group Ltd.,"Consulting, Real Estate, Software, Technology"
AII.TO,Almonty Industries Inc,"Mining, Materials"
AIM.TO,Aimia Inc,"Finance, Retail"
AKT-A.TO,Akita Drilling Ltd. (Class A),"Oil and Gas, Construction"
ALA.TO,AltaGas Ltd,"Energy, Oil and Gas"
ALS.TO,Altius Minerals Corp.,"Mining, Materials"
ALV.V,Alvopetro Energy Ltd,
ALY.V,AnalytixInsight Inc,
ALYA.TO,Alithya Group inc (Class A),
AMC.V,Arizona Metals Corp,
AMK.V,American Creek Resources Ltd- New,
AMM.TO,Almaden Minerals Ltd,"Mining, Materials"
AMX.V,Amex Exploration Inc.,"Mining, Materials"
AMY.V,American Manganese Inc,
AND.TO,Andlauer Healthcare Group Inc,
ANX.TO,Anaconda Mining Inc,
AOI.TO,Africa Oil Corp,"Energy, Oil and Gas"
AOT.TO,Ascot Resources Ltd.,"Mining, Materials"
AP-UN.TO,Allied Properties Real Estate Investment Trust,"Real Estate, Finance"
APGO.V,Apollo Gold & Silver Corp,
APHA.TO,Aphria Inc,"Manufacturing, Cannabis, Healthcare, Pharmaceuticals"
APLI.TO,Appili Therapeutics Inc,
APM.V,Andean Precious Metals Corp,
APR-UN.TO,Automotive Properties Real Estate Investment Trust,"Real Estate, Finance"
APS.TO,Aptose Biosciences Inc,
AQN.TO,Algonquin Power & Utilities Corp,"Energy, Utilities"
AQUA.V,Aquarius AI Inc,
AR.TO,Argonaut Gold Inc,"Mining, Materials"
ARE.TO,Aecon Group Inc.,"Construction, Engineering"
ARG.TO,Amerigo Resources Ltd,"Mining, Materials"
ARIS.TO,Aris Gold Corp,
ARR.TO,Altius Renewable Royalties Corp.,
ARS.V,Ares Strategic Mining Inc,
ART.V,Arht Media Inc,
ARTG.V,Artemis Gold Inc,
ARU.V,Aurania Resources Ltd,
ARX.TO,ARC Resources Ltd,"Energy, Oil and Gas"
ASM.TO,Avino Silver & Gold Mines Ltd.,"Mining, Materials"
AT.TO,AcuityAds Holdings Inc,"Advertising and Marketing, Software, Internet, Technology"
ATA.TO,"ATS Automation Tooling Systems, Inc.","Manufacturing, Machinery, Engineering"
ATD-B.TO,"Alimentation-Couche Tard, Inc. (Class B)",
ATE.TO,Antibe Therapeutics Inc Common New,
ATH.TO,Athabasca Oil Corp,"Energy, Oil and Gas"
ATP.TO,Atlantic Power Corp.,"Energy, Utilities"
ATY.V,Atico Mining Corp,
ATZ.TO,Aritzia Inc,"Apparel and Footwear, Retail, Fashion and Jewelry, Consumer Products"
AUAU.V,Allegiant Gold Ltd,"Mining, Materials"
AUMB.V,1911 Gold Corporation,
AUMN.TO,Golden Minerals Co,
AUN.V,Aurcana Silver Corp,"Mining, Materials"
AUP.TO,Aurinia Pharmaceuticals Inc,
AUX.V,AUX Resources Corporation,
AVCN.TO,Avicanna Inc,
AVCR.V,Avricore Health Inc.,
AVN.V,Avanti Energy Inc,
AX-UN.TO,Artis Real Estate Investment Trust,"Real Estate, Finance, Banking"
AXU.TO,Alexco Resource Corp,"Consulting, Mining, Materials"
AYA.TO,Aya Gold & Silver Inc,
AZ.V,A2Z Smart Technologies Corp.,
AZM.V,Azimut Exploration Inc,"Mining, Materials"
AZT.V,Aztec Minerals Corp,
BABY.V,Else Nutrition Holdings Inc,
BAD.TO,Badger Daylighting Ltd,"Construction, Engineering"
BAM-A.TO,Brookfield Asset Management Inc. (Class A),Finance
BB.TO,BlackBerry Ltd,"Mobile, Software, Internet, Technology"
BBB.V,Brixton Metals Corporation,
BBD-A.TO,Bombardier Inc. (Class A),
BBD-B.TO,Bombardier Inc. (Class B),"Manufacturing, Aerospace and Defence, Engineering, Transportation"
BBTV.TO,BBTV Holdings Inc,
BBU-UN.TO,Brookfield Business Partners L.P.,"Consulting, Real Estate, Finance"
BC-U.TO,Bespoke Capital Acquisition Corp (Class A),
BCE.TO,BCE Inc,"Telecommunications, Internet, Technology"
BCM.V,Bear Creek Mining Corp.,
BDT.TO,Bird Construction Inc,"Construction, Engineering"
BEI-UN.TO,Boardwalk Real Estate Investment Trust,"Real Estate, Finance"
BEP-UN.TO,Brookfield Renewable Partners LP,
BEPC.TO,Brookfield Renewable Corporation (Class A),
BES.V,Braille Energy Systems Inc,
BGP-U.NE,BGP Acquisition Corp (Class A),
BHC.TO,Bausch Health Companies Inc,"Manufacturing, Healthcare, Pharmaceuticals"
BIP-UN.TO,Brookfield Infrastructure Partners L.P,"Energy, Utilities"
BIPC.TO,Brookfield Infrastructure Corp (Class A),
BIR.TO,Birchcliff Energy Ltd,"Energy, Oil and Gas"
BITC-U.TO,Bitcoin Trust - Unit - Class A,
BITF.V,Bitfarms Ltd.,
BITK.V,BlockchainK2 Corp,
BKI.TO,Black Iron Inc,
BKMT.V,Blockmint Technologies Inc (Class A),
BLDP.TO,Ballard Power Systems Inc.,"Manufacturing, Clean Energy, Electronics, Engineering, Technology"
BLU.TO,Bellus Health Inc,"Healthcare, Pharmaceuticals, Biotechnology"
BLX.TO,"Boralex, Inc. (Class A)","Energy, Clean Energy, Oil and Gas, Utilities"
BMEX.V,BMEX Gold Inc.,
BMO.TO,Bank of Montreal,"Finance, Banking"
BNAU.TO,Battle North Gold Corp,
BNCH.V,Benchmark Metals Inc,
BNE.TO,Bonterra Energy Corp.,"Energy, Oil and Gas"
BNS.TO,Bank Of Nova Scotia,"Finance, Banking"
BNXA.V,Banxa Holdings Inc.,
BOS.TO,Airboss Of America Corp.,
BPF-UN.TO,Boston Pizza Royalties Income Fund,Finance
BPY-UN.TO,Brookfield Property Partners L.P.,"Real Estate, Finance"
BRAG.TO,Bragg Gaming Group Inc,"Entertainment and Media, Technology"
BRC.V,Blackrock Silver Corp,
BRG.V,Brigadier Gold Ltd.,
BRMI.TO,Boat Rocker Media Inc,
BRND-A-U.NE,Mercer Park Brand Acquisition Corp (Class A),
BRO.V,Barksdale Resources Corp,
BSR.V,Bluestone Resources Inc,"Mining, Materials"
BSX.TO,Belo Sun Mining Corp,"Mining, Materials"
BTB-UN.TO,BTB Real Estate Investment Trust - Unit,"Real Estate, Finance, Banking"
BTCG-UN.TO,CI Galaxy Bitcoin Fund - Unit - Class A,
BTE.TO,Baytex Energy Corp,"Energy, Oil and Gas"
BTO.TO,B2gold Corp,"Mining, Materials"
BTR.V,Bonterra Resources Inc,
BU.TO,Burcon Nutrascience Corp,"Manufacturing, Machinery, Engineering"
BYD.TO,Boyd Group Services Inc,
BYL.TO,Baylin Technologies Inc,"Manufacturing, Electronics, Technology"
BZ.V,Benz Mining Corp,
CAD.V,Colonial Coal International Corp,"Energy, Mining, Materials"
CAE.TO,Cae Inc.,"Manufacturing, Aerospace and Defence, Engineering"
CAPT.V,Capitan Mining Inc,
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,"Real Estate, Finance"
CARE.TO,Dialogue Health Technologies Inc,Recent IPOs
CAS.TO,Cascades Inc.,"Manufacturing, Materials"
CBD-U.TO,HempFusion Wellness Inc,
CBDTCSE,Empower Clinics Inc,
CBLU.V,Clear Blue Technologies International Inc.,
CBR.V,Cabral Gold Inc,
CCA.TO,Cogeco Communications Inc,"Telecommunications, Entertainment and Media, Internet"
CCHW.NE,Columbia Care Inc,
CCL-B.TO,CCL Industries Inc. (Class B),"Manufacturing, Consumer Products, Technology"
CCM.TO,Canagold Resources Ltd,
CCO.TO,Cameco Corp.,"Mining, Materials"
CCW.V,Canada Cobalt Works Inc,
CERE-U.NE,#NAME?,
CERT.V,Cerrado Gold Corp,
CERV.TO,Cervus Equipment Corp,"Machinery, Logistics"
CEU.TO,CES Energy Solutions Corp,"Manufacturing, Materials"
CF.TO,Canaccord Genuity Group Inc,Finance
CFF.TO,Conifex Timber Inc,"Manufacturing, Machinery, Materials"
CFP.TO,Canfor Corp.,"Manufacturing, Machinery, Materials"
CFW.TO,Calfrac Well Services Ltd.,
CFX.TO,Canfor Pulp Products Inc,"Manufacturing, Materials"
CG.TO,Centerra Gold Inc.,"Mining, Materials"
CGG.TO,China Gold International Resources Corp Ltd,"Mining, Materials"
CGX.TO,Cineplex Inc,"Entertainment and Media, Internet, Technology"
CHE-UN.TO,Chemtrade Logistics Income Fund,"Manufacturing, Materials"
CHP-UN.TO,Choice Properties Real Estate Investment Trust,"Real Estate, Finance"
CHR.TO,Chorus Aviation Inc,"Travel, Transportation"
CIA.TO,Champion Iron Limited,
CIX.TO,CI Financial Corp,Finance
CJ.TO,Cardinal Energy Ltd,"Energy, Oil and Gas"
CJR-B.TO,"Corus Entertainment, Inc. (Class B)",Entertainment and Media
CJT.TO,Cargojet Inc. Common and Variable Voting Shares,"Logistics, Transportation"
CLIQ.TO,Alcanna Inc,
CLS.TO,"Celestica, Inc.","Energy, Aerospace and Defence, Consulting, Logistics"
CM.TO,Canadian Imperial Bank Of Commerce,"Finance, Banking"
CMG.TO,Computer Modelling Group Ltd,"Oil and Gas, Software, Internet, Technology"
CMMC.TO,Copper Mountain Mining Corporation,"Mining, Materials"
CMX.V,Chilean Metals Inc,
CNC.V,Canada Nickel Company Inc,
CNE.TO,Canacol Energy Ltd,"Energy, Oil and Gas"
CNQ.TO,Canadian Natural Resources Ltd.,"Energy, Oil and Gas"
CNR.TO,Canadian National Railway Co.,"Travel, Transportation"
CP.TO,Canadian Pacific Railway Ltd,"Travel, Transportation"
CPAU.V,CopAur Minerals Inc.,
CPG.TO,Crescent Point Energy Corp,"Energy, Oil and Gas"
CPH.TO,Cipher Pharmaceuticals Inc,"Manufacturing, Healthcare, Pharmaceuticals"
CPR.V,Allied Copper Corp,
CPX.TO,Capital Power Corp,"Energy, Utilities, Construction"
CR.TO,Crew Energy Inc.,"Energy, Oil and Gas"
CRDL.TO,Cardiol Therapeutics Inc (Class A),
CRE.V,Critical Elements Lithium Corporation,"Mining, Materials"
CRH.TO,CRH Medical Corporation,"Manufacturing, Healthcare, Engineering, Technology"
CRON.TO,Cronos Group Inc,"Manufacturing, Cannabis, Healthcare"
CRR-UN.TO,Crombie Real Estate Investment Trust,"Real Estate, Finance"
CRRX.TO,CareRx Corporation,
CRT-UN.TO,CT Real Estate Investment Trust,"Real Estate, Finance, Banking"
CS.TO,Capstone Mining Corporation,"Mining, Materials"
CSH-UN.TO,Chartwell Retirement Residences,"Real Estate, Finance"
CSO.V,Corsa Coal Corp,"Mining, Materials"
CSTR.V,CryptoStar Corp,
CSU.TO,Constellation Software Inc,
CSX.V,Clean Seed Capital Group Ltd,
CTC-A.TO,"Canadian Tire Corp., Ltd. (Class A)","Sports, Finance, Retail, Consumer Products"
CTS.TO,Converge Technology Solutions Corp.,
CU.TO,Canadian Utilities Ltd. (Class A),"Energy, Utilities"
CUB.V,CubicFarm Systems Corp,
CUF-UN.TO,Cominar Real Estate Investment Trust,"Real Estate, Finance"
CUR.V,International Consolidated Uranium Inc,
CVE.TO,Cenovus Energy Inc,"Energy, Oil and Gas"
CVV.V,Canalaska Uranium Ltd,
CVX.V,Cematrix Corporation,
CWB.TO,Canadian Western Bank,"Finance, Banking"
CWEB.TO,Charlottes Web Holdings Inc,
CWRK.V,CurrencyWorks Inc,
CWX.TO,CanWel Building Materials Group Ltd,"Construction, Materials"
CXB.TO,Calibre Mining Corp,
CYBN.NE,Cybin Inc,
CYL.V,Ceylon Graphite Corp,
CYM.V,Cymat Technologies Ltd.,
CYP.V,Cypress Development Corp.,
CZO.V,Ceapro Inc.,
D-UN.TO,Dream Office Real Estate Investment Trust (Series A),"Real Estate, Finance"
DAN.V,Arianne Phosphate Inc,"Mining, Materials"
DBG.V,Doubleview Gold Corp,
DC-A.TO,Dundee Corporation (Class A),"Real Estate, Finance"
DCBO.TO,Docebo Inc,
DCM.TO,DATA Communications Management Corp,
DCMC.V,Dore Copper Mining Corp,
DEAL.V,Playgon Games Inc.,
DEF.V,Defiance Silver Corp,
DEFI.NE,DeFi Technologies Inc,
DEFN.V,Defense Metals Corp,
DEV-H.V,CT Developers Ltd,
DEX-H.V,Detector Exploration Ltd.,
DF.TO,Dividend 15 Split Corp. II (Class A),
DFLYCSE,Draganfly Inc,
DFN.TO,Dividend 15 Split Corp. (Class A),Finance
DFR.V,Diamond Fields Resources Inc,
DGHI.V,Sub voting,
DGS.TO,Dividend Growth Split Corp (Class A),Finance
DGTL.V,DGTL Holdings Inc.,
DII-B.TO,Dorel Industries Inc. (Class B),"Manufacturing, Consumer Products"
DIR-UN.TO,Dream Industrial Real Estate Investment Trust,"Real Estate, Finance"
DIV.TO,Diversified Royalty Corp,"Manufacturing, Consumer Products, Technology"
DLCG.V,Dominion Lending Centres Inc.,
DLTA.V,Delta Resources Ltd,
DME.V,Desert Mountain Energy Corp,
DMGI.V,DMG Blockchain Solutions Inc,
DML.TO,Denison Mines Corp,"Mining, Materials"
DMX.V,District Metals Corp,
DN.TO,Delta 9 Cannabis Inc,"Manufacturing, Cannabis, Healthcare"
DND.TO,Dye & Durham Ltd,
DNG.TO,Dynacor Gold Mines Inc,
DOC.V,CloudMD Software & Services Inc,
DOL.TO,Dollarama Inc,"Retail, Fashion and Jewelry, Consumer Products"
DOO.TO,BRP Inc,"Manufacturing, Healthcare, Biotechnology"
DPM.TO,Dundee Precious Metals Inc.,
DR.TO,Medical Facilities Corp,"Consulting, Healthcare"
DRDR.TO,MCI Onehealth Technologies Inc (Class A),
DRM.TO,DREAM Unlimited Corp (Class A),
DRT.TO,DIRTT Environmental Solutions Ltd,"Manufacturing, Construction, Materials"
DSG.TO,Descartes Systems Group Inc,"Software, Internet, Logistics, Technology"
DSLV.V,Denarius Silver Corp,
DSV.V,Discovery Metals Corp,"Mining, Materials"
DTG.V,Dynamic Technologies Group Inc (Class A),
DV.V,Dolly Varden Silver Corp,"Mining, Materials"
DXT.TO,Dexterra Group Inc,
DYA.TO,DynaCERT Inc,"Manufacturing, Machinery, Transportation"
EAM.V,East Africa Metals Inc,
ECN.TO,ECN Capital Corp,Finance
ECO.TO,EcoSynthetix Inc,"Manufacturing, Materials"
ECOM.V,Emerge Commerce Ltd,
EDR.TO,Endeavour Silver Corp.,"Mining, Materials"
EDT.TO,Spectral Medical Inc,
EDV.TO,Endeavour Mining Corp,"Mining, Materials"
EFL.TO,"Electrovaya, Inc.",
EFN.TO,Element Fleet Management Corp,Finance
EFR.TO,Energy Fuels Inc,
EFX.TO,Enerflex Ltd,"Manufacturing, Machinery, Engineering"
EGLX.TO,Enthusiast Gaming Holdings Inc.,
EGT.V,Eguana Technologies Inc,
EIF.TO,Exchange Income Corp,"Manufacturing, Travel, Transportation"
EIT-UN.TO,Canoe EIT Income Fund,Finance
ELD.TO,Eldorado Gold Corp.,"Mining, Materials"
ELEF.TO,Silver Elephant Mining Corp,
ELO.V,Eloro Resources Ltd,"Mining, Materials"
ELR.TO,Eastern Platinum Ltd,
ELY.V,Ely Gold Royalties Inc,
EMA.TO,Emera Inc.,"Energy, Oil and Gas, Utilities"
EMH.V,Emerald Health Therapeutics Inc,"Manufacturing, Cannabis, Healthcare, Pharmaceuticals"
EMM.V,Giyani Metals Corp,
EMN.V,Euro Manganese Inc,
EMP-A.TO,"Empire Co., Ltd. (Class A)","Food, Retail, Consumer Products"
EMPR.V,Empress Royalty Corp.,
ENB.TO,Enbridge Inc,"Energy, Oil and Gas"
ENGH.TO,Enghouse Systems Ltd,"Software, Internet, Technology"
ENW.V,Enwave Corp.,"Manufacturing, Machinery, Engineering"
EPRX.TO,Eupraxia Pharmaceuticals Inc,
EQX.TO,Equinox Gold Corp,
ERD.TO,Erdene Resource Development Corp,
ERE-UN.TO,European Residential Real Estate Investment Trust,"Real Estate, Finance"
ERF.TO,Enerplus Corporation,"Energy, Oil and Gas"
ERL-H.V,Earl Resources Ltd.,
ERO.TO,Ero Copper Corp,"Mining, Materials"
ESE.V,ESE Entertainment Inc.,
ESI.TO,Ensign Energy Services Inc,"Oil and Gas, Mining, Materials"
ESK.V,Eskay Mining Corp,
ESM.TO,Euro Sun Mining Inc,"Mining, Materials"
ESX.V,Essex Minerals Inc,
ETG.TO,Entree Resources Ltd,"Mining, Materials"
ETHC.NE,Ether Capital Corp,
ETMC.V,E3 Metals Corp,"Mining, Materials"
ETX.TO,Etrion Corp,
EU.V,enCore Energy Corp,
EVER.V,Evergold Corp,
EWS.V,Environmental Waste International Inc.,
EXE.TO,Extendicare Inc,"Consulting, Healthcare"
EXN.TO,Excellon Resources Inc,
EXRO.V,Exro Technologies Inc,
FAF.TO,Fire & Flower Holdings Corp,Cannabis
FAP.TO,Aberdeen Asia-Pacific Income Investment Co. Ltd,Finance
FCR-UN.TO,First Capital Real Estate Investment Trust,
FCU.TO,Fission Uranium Corp,"Mining, Materials"
FD.V,Facedrive Inc,
FDGE.TO,Farmers Edge Inc,
FDR.V,Founders Metals Inc,
FEC.TO,Frontera Energy Corporation,"Energy, Oil and Gas"
FF.TO,First Mining Gold Corp,
FFH.TO,"Fairfax Financial Holdings, Ltd.",
FFN.TO,North American Financial 15 Split Corp (Class A),
FIL.V,Filo Mining Corp,"Mining, Materials"
FIND.V,Baselode Energy Corp.,
FIRE.TO,The Supreme Cannabis Company Inc,Cannabis
FISH.V,Sailfish Royalty Corp,Finance
FL.V,Frontier Lithium Inc,
FLT.V,Drone Delivery Canada Corp,"Logistics, Technology"
FLWR.V,Flowr Corp. (The),"Manufacturing, Cannabis, Healthcare"
FLY.V,FLYHT Aerospace Solutions Ltd,
FM.TO,First Quantum Minerals Ltd.,"Mining, Materials"
FNV.TO,Franco-Nevada Corporation,"Mining, Materials"
FOM.V,Foran Mining Corp.,
FOOD.TO,Goodfood Market Corp,"Food, Consumer Products, Internet, Technology"
FORT.V,Fortress Technologies Inc,
FPC.V,Falco Resources Ltd.,"Mining, Materials"
FPX.V,FPX Nickel Corp,
FR.TO,First Majestic Silver Corporation,"Mining, Materials"
FRI.V,Freeport Resources Inc.,
FRII.TO,Freshii Inc (Class A),"Food, Restaurants, Retail"
FRU.TO,Freehold Royalties Ltd,"Energy, Oil and Gas"
FSV.TO,FirstService Corp,"Real Estate, Finance"
FSX.V,Fosterville South Exploration Ltd,
FSY.TO,Forsys Metals Corp.,
FSZ.TO,Fiera Capital Corp (Class A),Finance
FTG.TO,Firan Technology Group Corp.,
FTN.TO,Financial 15 Split Corp. (Class A),
FTS.TO,Fortis Inc.,"Energy, Oil and Gas, Utilities"
FTT.TO,Finning International Inc.,Machinery
FURY.TO,Fury Gold Mines Ltd.,
FVAN.V,First Vanadium Corp,
FVI.TO,Fortuna Silver Mines Inc.,"Mining, Materials"
FVL.TO,Freegold Ventures Ltd,
FWZ.V,Fireweed Zinc Ltd,
G.TO,Augusta Gold Corp.,
GASX.V,NG Energy International Corp.,
GAU.TO,Galiano Gold Inc,
GBAR.TO,Monarch Mining Corp,
GBML.V,Global Battery Metals Ltd.,
GBR.V,Great Bear Resources Ltd,
GBRC.V,Gold Bull Resources Corp.,
GBRR.V,Great Bear Royalties Corp,
GBU.V,Gabriel Resources Ltd.,"Mining, Materials"
GC.TO,Great Canadian Gaming Corp.,Entertainment and Media
GCL.TO,Colabor Group Inc,"Food, Logistics"
GCM.TO,Gran Colombia Gold Corp,"Mining, Materials"
GDNP.V,Good natured Products Inc,
GEI.TO,Gibson Energy Inc,"Energy, Oil and Gas"
GEM.V,Green Battery Minerals Inc,
GENM.TO,Generation Mining Ltd,
GFL.TO,GFL Environmental Inc.,
GGD.TO,Gogold Resources Inc,"Mining, Materials"
GGI.V,Garibaldi Resources Corporation.,"Mining, Materials"
GIB-A.TO,CGI Inc (Class A),"Consulting, Software, Technology"
GIGA.V,Giga Metals Corp,
GIII.V,GEN III Oil Corp,"Energy, Manufacturing, Oil and Gas, Engineering"
GIL.TO,Gildan Activewear Inc,"Manufacturing, Apparel and Footwear, Fashion and Jewelry, Consumer Products"
GLD.V,GoldON Resources Ltd,"Mining, Materials"
GLDC.V,Cassiar Gold Corp,
GLDL.V,Gold Line Resources Ltd.,
GLDX.V,Gold X Mining Corp,
GLO.TO,Global Atomic Corp,"Mining, Materials"
GLXY.TO,Galaxy Digital Holdings Ltd.,
GMA.V,Geomega Resources Inc,
GMIN.V,G Mining Ventures Corp.,
GMTN.V,Gold Mountain Mining Corp.,
GMX.TO,"Globex Mining Enterprises, Inc.",
GOG.V,Golden Tag Resources Ltd.,
GOLD.TO,GoldMining Inc,"Mining, Materials"
GOOS.TO,Canada Goose Holdings Inc,"Manufacturing, Apparel and Footwear, Fashion and Jewelry, Consumer Products"
GPH.V,Graphite One Inc,
GPR.TO,Great Panther Mining Ltd,"Mining, Materials"
GPV.V,GreenPower Motor Company Inc,
GRA.V,NanoXplore Inc,
GRAM-U.NE,TPCO Holding Corp (Class A),
GRAT.V,Gratomic Inc,
GRB.V,Greenbriar Capital Corp,"Real Estate, Finance"
GRN.TO,Greenlane Renewables Inc,
GRSL.V,Gr Silver Mining Ltd,
GRT-UN.TO,Granite Real Estate Investment Trust,"Real Estate, Finance"
GSI.V,Gatekeeper Systems Inc.,
GSPR.V,GSP Resource Corp,
GSV.TO,Gold Standard Ventures Corp,"Mining, Materials"
GSY.TO,Goeasy Ltd,Finance
GTE.TO,Gran Tierra Energy Inc,"Energy, Oil and Gas"
GTEC.V,GTEC Holdings Ltd,
GTMS.TO,Greenbrook TMS Inc,
GTT.V,GT Gold Corp,"Mining, Materials"
GTWO.V,G2 Goldfields Inc,
GUD.TO,Knight Therapeutics Inc,"Manufacturing, Healthcare, Pharmaceuticals"
GVC.TO,Glacier Media Inc,"Manufacturing, Materials"
GWM.V,Galway Metals Inc,
GWO.TO,Great-West Lifeco Inc,"Healthcare, Finance, Insurance"
GXE.TO,Gear Energy Ltd,"Energy, Oil and Gas"
H.TO,Hydro One Ltd,"Energy, Oil and Gas, Utilities"
HAI.TO,Haivision Systems Inc,
HAN.V,Hannan Metals ltd,
HAPB.V,HAPBEE TECHNOLOGIES INC.,
HAR.V,Harfang Exploration Inc,
HBM.TO,Hudbay Minerals Inc.,"Mining, Materials"
HCG.TO,Home Capital Group Inc.,"Finance, Banking"
HELX.V,Helix Applications Inc.,
HEM.V,Hemostemix Inc,
HEO.V,H2O Innovation Inc,
HEXO.TO,HEXO Corp,
HIRE.V,Hire Technologies Inc,
HITI.V,High Tide Inc.,Cannabis
HIVE.V,HIVE Blockchain Technologies Ltd,"Software, Internet, Technology"
HLS.TO,HLS Therapeutics Inc,"Healthcare, Pharmaceuticals"
HME.V,Hemisphere Energy Corp,
HOC.V,Hunter Technology Corp,
HOT-UN.TO,American Hotel Income Properties REIT LP,"Real Estate, Finance"
HPQ.V,HPQ-Silicon Resources Inc,
HR-UN.TO,H&R Real Estate Investment Trust,"Real Estate, Finance"
HRX.TO,Heroux-Devtek Inc.,"Manufacturing, Aerospace and Defence, Engineering"
HSTR.V,Heliostar Metals Ltd,
HTL.V,Hamilton Thorne Ltd,"Manufacturing, Healthcare, Engineering, Technology"
HTR.V,Heatherdale Resources Ltd,
HULK.V,Pontus Protein Ltd,
HUT.TO,Hut 8 Mining Corp,"Consulting, Software, Technology"
HVT.V,Harvest One Cannabis Inc,
HWX.TO,Headwater Exploration Inc,
IAG.TO,iA Financial Corp,
IBG.TO,IBI Group Inc,"Consulting, Logistics, Transportation"
IFC-R.TO,Subscription Receipts - April 2021,
IFC.TO,Intact Financial Corp,
IFP.TO,Interfor Corp,
IGM.TO,IGM Financial Inc.,
IGX.V,IntelGenx Technologies Corp,"Manufacturing, Healthcare, Pharmaceuticals"
III.TO,Imperial Metals Corp.,
IIP-UN.TO,InterRent Real Estate Investment Trust,
IMG.TO,Iamgold Corp.,"Mining, Materials"
IMIN.V,iMining Blockchain and Cryptocurrency Inc.,
IMO.TO,Imperial Oil Ltd.,
IMV.TO,IMV Inc,
INE.TO,Innergex Renewable Energy Inc,
INEO.V,INEO Tech Corp,
INO-UN.TO,Inovalis Real Estate Investment Trust,
INV.TO,INV Metals Inc,"Mining, Materials"
